,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
14D.AX,1414DEGREE FPO,Utilities,Utilities—Independent Power Producers,Australia,37997148,
1ST.AX,1ST GROUP FPO,Healthcare,Health Information Services,Australia,12313892,
3PL.AX,3PLEARNING FPO,Consumer Defensive,Education & Training Services,Australia,178539520,250
4DS.AX,4DSMEMORY FPO,Technology,Semiconductors,Australia,263708016,
5GN.AX,5G NETWORK FPO,Communication Services,Telecom Services,Australia,140541040,
88E.AX,88 ENERGY FPO,Energy,Oil & Gas E&P,Australia,388169600,
8CO.AX,8COMMONLTD FPO,Technology,Software—Application,Australia,40082000,
8IH.AX,8I HOLD CDI 1:1,Consumer Defensive,Education & Training Services,Singapore,75969392,
8EC.AX,8IP EMERG FPO,Financial Services,Asset Management,Australia,37971,
8VI.AX,8VIHOLD CDI 1:1,Consumer Defensive,Education & Training Services,Singapore,95988608,
9SP.AX,9SPOKES FPO NZ,Technology,Software—Application,New Zealand,32853480,
ACB.AX,ACAPRES FPO,Basic Materials,Other Industrial Metals & Mining,Australia,52313100,
A2B.AX,A2B AUST FPO,Technology,Software—Infrastructure,Australia,142108576,
ABP.AX,ABACUS STAPLED,Real Estate,REIT—Diversified,Australia,2275682816,
ABL.AX,ABILENEOIL FPO,Energy,Oil & Gas E&P,Australia,397614,
AEG.AX,AB EQ PERF FPO,Financial Services,Asset Management,Australia,94858672,
ABT.AX,delisted,,,,,
ACS.AX,ACCENT RES FPO,Basic Materials,Other Industrial Metals & Mining,Australia,41942432,
ACQ.AX,ACORN CAP FPO,Financial Services,Asset Management,Australia,115690984,
ACF.AX,ACROW FPO,Industrials,Engineering & Construction,Australia,80602224,
ACR.AX,ACRUX FPO,Healthcare,Biotechnology,Australia,43777428,
ACW.AX,ACTINOGEN FPO,Healthcare,Biotechnology,Australia,68082960,
ACU.AX,ACUMENTIS FPO,Real Estate,Real Estate Services,Australia,20238400,
AD1.AX,AD1 HOLD FPO,Industrials,Staffing & Employment Services,Australia,24782696,
ADA.AX,ADACEL FPO,Technology,Software—Application,Australia,69207336,
ADH.AX,ADAIRS FPO,Consumer Cyclical,Specialty Retail,Australia,691524928,
1AD.AX,ADALTA FPO,Healthcare,Biotechnology,Australia,41679920,
ADD.AX,ADAVALE FPO,Energy,Uranium,Australia,14276650,
ABC.AX,ADEL BRTN FPO,Basic Materials,Building Materials,Australia,2247455232,
ADR.AX,ADHERIUM FPO,Healthcare,Medical Devices,New Zealand,13591920,
AHZ.AX,delisted,,,,,
ADY.AX,ADMIRALTY FPO,Basic Materials,Other Industrial Metals & Mining,Australia,25500860,
ADT.AX,ADRIATIC CDI 1:1,Basic Materials,Other Industrial Metals & Mining,United Kingdom,431994464,39
ADJ.AX,delisted,,,,,
ABV.AX,ADV BRAKE FPO,Consumer Cyclical,Auto Parts,Australia,16303407,18
ADX.AX,ADXENERGY FPO,Energy,Oil & Gas E&P,Australia,27434112,
AER.AX,AEERIS FPO,Technology,Software—Application,Australia,7196856,
AEI.AX,AERIS ENV FPO,Industrials,Pollution & Treatment Controls,Australia,58518720,
AFL.AX,AF LEGAL FPO,Consumer Cyclical,Personal Services,Australia,33212950,
AEB.AX,delisted,,,,,
AFR.AX,AFRICAN EN CDI 1:1,Energy,Thermal Coal,Guernsey,10590338,
A1G.AX,AFR GOLD FPO,Basic Materials,Other Industrial Metals & Mining,Australia,24130316,
AFT.AX,delisted,,,,,
AFP.AX,AFT PHARM FPO NZX,Healthcare,Drug Manufacturers—Specialty & Generic,New Zealand,442600416,86
AGL.AX,AGL ENERGY FPO,Utilities,Utilities—Renewable,Australia,6429710336,3988
AGJ.AX,AGRI LAND UNIT,Real Estate,REIT—Diversified,Australia,2925300,
