,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
14D.AX,error,,,,,
1ST.AX,error,,,,,
3PL.AX,3PLEARNING FPO,Consumer Defensive,Education & Training Services,Australia,182724032,250
4DS.AX,error,,,,,
5GN.AX,5G NETWORK FPO,Communication Services,Telecom Services,Australia,137113200,
88E.AX,error,,,,,
8CO.AX,error,,,,,
8IH.AX,error,,,,,
8EC.AX,error,,,,,
8VI.AX,error,,,,,
9SP.AX,error,,,,,
ACB.AX,error,,,,,
A2B.AX,error,,,,,
ABP.AX,error,,,,,
ABL.AX,error,,,,,
AEG.AX,error,,,,,
ABT.AX,error,,,,,
ACS.AX,error,,,,,
ACQ.AX,error,,,,,
ACF.AX,error,,,,,
ACR.AX,error,,,,,
ACW.AX,error,,,,,
ACU.AX,error,,,,,
AD1.AX,error,,,,,
ADA.AX,error,,,,,
ADH.AX,error,,,,,
1AD.AX,error,,,,,
ADD.AX,error,,,,,
ABC.AX,error,,,,,
ADR.AX,error,,,,,
AHZ.AX,error,,,,,
ADY.AX,error,,,,,
ADT.AX,ADRIATIC CDI 1:1,Basic Materials,Other Industrial Metals & Mining,United Kingdom,467747264,73
ADJ.AX,error,,,,,
ABV.AX,error,,,,,
ADX.AX,error,,,,,
AER.AX,error,,,,,
AEI.AX,error,,,,,
AFL.AX,error,,,,,
AEB.AX,error,,,,,
AFR.AX,error,,,,,
A1G.AX,error,,,,,
AFT.AX,delisted,,,,,
AFP.AX,AFT PHARM FPO NZX,Healthcare,Drug Manufacturers—Specialty & Generic,New Zealand,455085760,86
AGL.AX,AGL ENERGY FPO,Utilities,Utilities—Renewable,Australia,5563693568,3988
AGJ.AX,error,,,,,
AGR.AX,error,,,,,
AHL.AX,error,,,,,
A1M.AX,error,,,,,
AGI.AX,AINSWORTH FPO,Consumer Cyclical,Gambling,Australia,274487104,
A40.AX,error,,,,,
AHQ.AX,error,,,,,
AGS.AX,error,,,,,
AGE.AX,error,,,,,
A4N.AX,error,,,,,
1AG.AX,error,,,,,
AGH.AX,error,,,,,
3DA.AX,error,,,,,
ABR.AX,error,,,,,
ADN.AX,error,,,,,
AAR.AX,error,,,,,
AGG.AX,error,,,,,
ADO.AX,error,,,,,
AGX1.AX,error,,,,,
AHX.AX,error,,,,,
ADI.AX,APNINDREIT STAPLED,Real Estate,REIT—Office,Australia,670103552,
ADV.AX,error,,,,,
AGY.AX,error,,,,,
AHK.AX,error,,,,,
AAJ.AX,error,,,,,
AHY.AX,ASALEO FPO,Consumer Defensive,Household & Personal Products,Australia,765801984,
AFA.AX,error,,,,,
AHN.AX,error,,,,,
AIA.AX,AUCK AIRPT FPO NZX,Industrials,Airports & Air Services,New Zealand,10332536832,527
ACP.AX,error,,,,,
AD8.AX,AUDINATEGL FPO,Technology,Electronic Components,Australia,617061504,123
AEE.AX,error,,,,,
ABW.AX,error,,,,,
A3D.AX,error,,,,,
AC8.AX,error,,,,,
AGD.AX,error,,,,,
AAC.AX,AUST AG CO FPO,Consumer Defensive,Farm Products,Australia,693182016,423
AAP.AX,error,,,,,
ABX.AX,error,,,,,
AHF.AX,error,,,,,
AEF.AX,error,,,,,
AFG.AX,AUSTRA FIN FPO,Financial Services,Mortgage Finance,Australia,756837248,204
AFI.AX,error,,,,,
AGM.AX,error,,,,,
ABA.AX,error,,,,,
AEV.AX,error,,,,,
A200.AX,BETAAUS200 ETF UNITS,,,,,
AGVT.AX,BETAAGVT ETF UNITS,,,,,
AAA.AX,BETACASH ETF UNITS,,,,,
ACDC.AX,ETFS ACDC ETF UNITS,,,,,
4CE.AX,error,,,,,
360.AX,LIFE360 CDI FORUS,Technology,Software—Application,United States,54532096,
1AL.AX,error,,,,,
3DP.AX,error,,,,,
A2M.AX,error,,,,,
2BE.AX,error,,,,,
AIB.AX,error,,,,,
AIQ.AX,error,,,,,
AIR.AX,error,,,,,
AIS.AX,error,,,,,
AIV.AX,error,,,,,
AIY.AX,error,,,,,
AIZ.AX,AIR N.Z. FPO NZX,Industrials,Airlines,New Zealand,3588507136,9988
AJC.AX,error,,,,,
AJJ.AX,error,,,,,
AJL.AX,error,,,,,
AJM.AX,error,,,,,
AJQ.AX,ARMOUR FPO,Energy,Oil & Gas E&P,Australia,50484060,45
AJX.AX,error,,,,,
AJY.AX,error,,,,,
AKG.AX,error,,,,,
AKM.AX,error,,,,,
AKN.AX,error,,,,,
AKP.AX,error,,,,,
AL3.AX,error,,,,,
AL8.AX,error,,,,,
ALC.AX,ALCIDION FPO,Healthcare,Health Information Services,Australia,401231072,
ALF.AX,error,,,,,
ALG.AX,ARDENTLGLT FPO,Consumer Cyclical,Leisure,Australia,414945696,
ALI.AX,error,,,,,
ALK.AX,ALKANE FPO,Basic Materials,Gold,Australia,437610912,
ALL.AX,ARISTOCRAT FPO,Communication Services,Electronic Gaming & Multimedia,Australia,23734679552,6000
ALQ.AX,ALS FPO,Industrials,Consulting Services,Australia,5084769792,15638
ALT.AX,error,,,,,
ALU.AX,ALTIUM LTD FPO,Technology,Software—Application,United States,3890910208,861
ALX.AX,ATLSRTERIA FPOSFORUS,Industrials,Infrastructure Operations,Australia,5792468480,
ALY.AX,error,,,,,
AMA.AX,AMA GROUP FPO,Consumer Cyclical,Auto Parts,Australia,411823328,
AMB.AX,error,,,,,
AMC.AX,AMCOR PLC CDI 1:1,Consumer Cyclical,Packaging & Containers,Switzerland,23806861312,47000
AMD.AX,error,,,,,
AME.AX,error,,,,,
AMG.AX,error,,,,,
AMH.AX,error,,,,,
AMI.AX,AURELIA FPO,Basic Materials,Other Industrial Metals & Mining,Australia,518418592,
AML.AX,error,,,,,
AMN.AX,error,,,,,
AMO.AX,error,,,,,
AMP.AX,AMP FPO,Financial Services,Asset Management,Australia,3831809024,5798
AMS.AX,error,,,,,
AMT.AX,error,,,,,
AMX.AX,error,,,,,
ANA.AX,error,,,,,
ANG.AX,AUSTIN ENG FPO,Industrials,Farm & Heavy Construction Machinery,Australia,84110728,1248
ANL.AX,AMANI GOLD FPO,Basic Materials,Gold,Australia,10787001,
ANN.AX,ANSELL FPO,Healthcare,Medical Instruments & Supplies,Australia,5431550976,13513
ANO.AX,error,,,,,
ANP.AX,error,,,,,
ANR.AX,error,,,,,
ANS.AX,error,,,,,
ANW.AX,error,,,,,
ANZ.AX,ANZ BANK FPO,Financial Services,Banks—Diversified,Australia,81490550784,37506
AO1.AX,error,,,,,
AOA.AX,error,,,,,
AOF.AX,error,,,,,
AON.AX,error,,,,,
AOP.AX,error,,,,,
AOU.AX,error,,,,,
AOW.AX,error,,,,,
APA.AX,APA GROUP STAPLED,Utilities,Utilities—Regulated Gas,Australia,35502989312,1900
APC.AX,error,,,,,
APD.AX,APN PROP STAPLED,Financial Services,Asset Management,Australia,186194624,
APE.AX,error,,,,,
APG.AX,error,,,,,
APH.AX,error,,,,,
API.AX,AUST PHARM FPO,Healthcare,Medical Distribution,Australia,583797312,
APL.AX,error,,,,,
APT.AX,error,,,,,
APV.AX,error,,,,,
APW.AX,error,,,,,
APX.AX,APPEN FPO,Technology,Information Technology Services,Australia,1927244800,1078
APZ.AX,ASPEN STAPLED,Real Estate,Real Estate—Diversified,Australia,137896080,
AQC.AX,error,,,,,
AQD.AX,error,,,,,
AQG.AX,error,,,,,
AQI.AX,ALICANTO FPO,Basic Materials,Gold,Australia,39344040,
AQR.AX,error,,,,,
AQS.AX,error,,,,,
AQX.AX,error,,,,,
AQZ.AX,AAVIATION FPO,Industrials,Airlines,Australia,674003328,552
AR9.AX,error,,,,,
ARA.AX,error,,,,,
ARB.AX,ARB CORP FPO,Consumer Cyclical,Auto Parts,Australia,3163813376,1600
ARC.AX,error,,,,,
ARD.AX,ARGENT MIN FPO,Basic Materials,Other Industrial Metals & Mining,Australia,35925104,3
ARE.AX,error,,,,,
ARF.AX,error,,,,,
ARG.AX,error,,,,,
ARL.AX,error,,,,,
ARM.AX,error,,,,,
ARN.AX,error,,,,,
ARO.AX,error,,,,,
ARQ.AX,error,,,,,
ARS.AX,error,,,,,
ARU.AX,ARAFURA FPO,Basic Materials,Other Industrial Metals & Mining,Australia,210740416,
ARV.AX,error,,,,,
AS1.AX,error,,,,,
ASB.AX,AUSTAL LTD FPO,Industrials,Aerospace & Defense,Australia,866534848,5800
ASG.AX,error,,,,,
ASH.AX,error,,,,,
ASIA.AX,BETA ASIA ETF UNITS,,,,,
ASN.AX,error,,,,,
ASP.AX,error,,,,,
ASQ.AX,error,,,,,
AST.AX,AUSNET FPO,Utilities,Utilities—Diversified,Australia,7203331072,1700
ASW.AX,error,,,,,
ASX.AX,ASX FPO,Financial Services,Financial Data & Stock Exchanges,Australia,14128564224,737
AT1.AX,error,,,,,
ATC.AX,error,,,,,
ATEC.AX,BETAATEC ETF UNITS,,,,,
ATH.AX,error,,,,,
ATL.AX,error,,,,,
ATM.AX,error,,,,,
ATP.AX,error,,,,,
ATR.AX,error,,,,,
ATS.AX,error,,,,,
ATU.AX,error,,,,,
ATX.AX,error,,,,,
AU1.AX,error,,,,,
AU8.AX,error,,,,,
AUB.AX,error,,,,,
AUC.AX,error,,,,,
AUDS.AX,error,,,,,
AUH.AX,error,,,,,
AUI.AX,error,,,,,
AUL.AX,error,,,,,
AUMF.AX,IEDGEAUMF ETF UNITS,,,,,
AUP.AX,error,,,,,
AUQ.AX,error,,,,,
AUR.AX,error,,,,,
AUST.AX,error,,,,,
AUT.AX,AUTECO FPO,Basic Materials,Other Industrial Metals & Mining,Australia,139479024,
AUZ.AX,error,,,,,
AV1.AX,error,,,,,
AVA.AX,AVA RISK FPO,Industrials,Security & Protection Services,Australia,103900472,
AVC.AX,error,,,,,
AVE.AX,error,,,,,
AVG.AX,AUST VINT FPO,Consumer Defensive,Beverages—Wineries & Distilleries,Australia,207723920,
AVH.AX,error,,,,,
AVJ.AX,AVJ FPO,Real Estate,Real Estate—Development,Australia,221395904,
AVL.AX,error,,,,,
AVN.AX,AVENTUS STAPLED,Real Estate,REIT—Retail,Australia,5066285568,60
AVQ.AX,error,,,,,
AVW.AX,error,,,,,
AVZ.AX,error,,,,,
AWC.AX,ALUMINA FPO,Basic Materials,Aluminum,Australia,5019906560,
AWN.AX,error,,,,,
AWV.AX,error,,,,,
AWY.AX,error,,,,,
AX1.AX,ACCENT GL FPO,Consumer Cyclical,Apparel Retail,Australia,1593089024,
AX8.AX,error,,,,,
AXE.AX,error,,,,,
AXI.AX,error,,,,,
AXT.AX,error,,,,,
AYF.AX,error,,,,,
AYI.AX,error,,,,,
AYM.AX,error,,,,,
AYR.AX,error,,,,,
AYS.AX,error,,,,,
AZI.AX,error,,,,,
AZJ.AX,AURIZON FPO,Industrials,Railroads,Australia,6902625280,4840
AZS.AX,error,,,,,
AZT.AX,error,,,,,
AZV.AX,error,,,,,
AZY.AX,error,,,,,
B2Y.AX,error,,,,,
BAF.AX,error,,,,,
BAP.AX,BAPCOR LTD FPO,Consumer Cyclical,Specialty Retail,Australia,2620268288,
BAR.AX,error,,,,,
BAS.AX,error,,,,,
BAT.AX,error,,,,,
BBC.AX,error,,,,,
BBL.AX,error,,,,,
BBN.AX,BABY B FPO,Consumer Cyclical,Specialty Retail,Australia,811721408,1279
BBOZ.AX,error,,,,,
BBUS.AX,error,,,,,
BBX.AX,error,,,,,
BC8.AX,error,,,,,
BCB.AX,error,,,,,
BCC.AX,error,,,,,
BCI.AX,error,,,,,
BCK.AX,error,,,,,
BCL.AX,error,,,,,
BCN.AX,error,,,,,
BCT.AX,error,,,,,
BD1.AX,error,,,,,
BDA.AX,error,,,,,
BDC.AX,error,,,,,
BDG.AX,BLK DRAGON CDI 1:1,Basic Materials,Gold,United Kingdom,9673488,
BDI.AX,error,,,,,
BEAR.AX,BETA BEAR ETF UNITS,,,,,
BEE.AX,error,,,,,
BEL.AX,error,,,,,
BEM.AX,error,,,,,
BEN.AX,BEN ADE BK FPO,Financial Services,Banks—Regional,Australia,5644249600,4529
BET.AX,BETMAKTECH FPO,Consumer Cyclical,Gambling,Australia,1019907456,
BFC.AX,error,,,,,
BFG.AX,BELL FN GP FPO,Financial Services,Capital Markets,Australia,577339200,732
BGA.AX,BEGA FPO,Consumer Defensive,Packaged Foods,Australia,1933786496,1800
BGL.AX,BELLEVUE FPO,Basic Materials,Gold,Australia,804902208,
BGP.AX,error,,,,,
BGT.AX,error,,,,,
BHD.AX,error,,,,,
BHL.AX,error,,,,,
BHP.AX,BHP GROUP FPO,Basic Materials,Other Industrial Metals & Mining,Australia,241218895872,31589
BID.AX,error,,,,,
BILL.AX,ICORECASH ETF UNITS,,,,,
BIN.AX,BINGO IND FPO,Industrials,Waste Management,Australia,2233417216,1000
BIQ.AX,error,,,,,
BIR.AX,error,,,,,
BIS.AX,error,,,,,
BIT.AX,error,,,,,
BKI.AX,error,,,,,
BKL.AX,BLACKMORE. FPO,Consumer Defensive,Household & Personal Products,Australia,1387344384,1400
BKT.AX,error,,,,,
BKW.AX,BRICKWORKS FPO,Basic Materials,Building Materials,Australia,3077418752,1937
BKY.AX,BERKELEY FPO,Energy,Uranium,Spain,144818800,
BLA.AX,error,,,,,
BLD.AX,BORAL LTD FPO,Basic Materials,Building Materials,Australia,7599030272,11032
BLG.AX,error,,,,,
BLK.AX,error,,,,,
BLU.AX,error,,,,,
BLV.AX,error,,,,,
BLX.AX,BEACON LTG FPO,Consumer Cyclical,Specialty Retail,Australia,406444224,1000
BLY.AX,error,,,,,
BLZ.AX,error,,,,,
BMG.AX,error,,,,,
BMH.AX,error,,,,,
BMN.AX,BANNERMAN FPO,Energy,Uranium,Australia,166479600,
BNDS.AX,BETALMBNDS ETF UNITS,,,,,
BNKS.AX,BETABANKS ETF UNITS,,,,,
BNL.AX,error,,,,,
BNO.AX,error,,,,,
BNR.AX,error,,,,,
BOA.AX,error,,,,,
BOC.AX,error,,,,,
BOE.AX,error,,,,,
BOL.AX,error,,,,,
BOND.AX,SPDR BOND ETF UNITS,,,,,
BOQ.AX,BANK QLD FPO,Financial Services,Banks—Regional,Australia,5768452608,2021
BOT.AX,error,,,,,
BPH.AX,error,,,,,
BPL.AX,error,,,,,
BPP.AX,error,,,,,
BPT.AX,BEACH FPO,Energy,Oil & Gas E&P,Australia,2908695552,
BRB.AX,error,,,,,
BRG.AX,BREVILLE FPO,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Australia,3622191616,610
BRI.AX,error,,,,,
BRK.AX,error,,,,,
BRL.AX,error,,,,,
BRN.AX,BRAINCHIP FPO,Technology,Semiconductors,Australia,956849216,42
BRU.AX,error,,,,,
BRV.AX,error,,,,,
BSA.AX,BSA AUST FPO,Industrials,Engineering & Construction,Australia,134354000,
BSE.AX,BASEIRON FPO,Basic Materials,Other Industrial Metals & Mining,Australia,323952768,
BSL.AX,BLUESCOPE FPO,Basic Materials,Steel,Australia,10892286976,14000
BSM.AX,error,,,,,
BSP.AX,error,,,,,
BSR.AX,error,,,,,
BSX.AX,error,,,,,
BTC.AX,error,,,,,
BTH.AX,BIGTINCAN FPO,Technology,Software—Application,Australia,359320448,
BTI.AX,error,,,,,
BUB.AX,error,,,,,
BUD.AX,error,,,,,
BUG.AX,error,,,,,
BUX.AX,error,,,,,
BUY.AX,error,,,,,
BVS.AX,BRAVURA FPO,Technology,Software—Application,Australia,697560832,1442
BWF.AX,error,,,,,
BWP.AX,BWP TRUST ORD UNITS,Real Estate,REIT—Industrial,Australia,2653046016,
BWR.AX,error,,,,,
BWX.AX,BWXLIMITED FPO,Consumer Defensive,Household & Personal Products,Australia,660002176,310
BXB.AX,BRAMB LTD FPO,Industrials,Specialty Business Services,Australia,15104439296,12000
BXN.AX,error,,,,,
BYE.AX,BYRON ENER FPO,Energy,Oil & Gas E&P,Australia,119634504,
BYH.AX,error,,,,,
BYI.AX,error,,,,,
C6C.AX,error,,,,,
CA8.AX,error,,,,,
CAA.AX,CAPRAL FPO,Basic Materials,Aluminum,Australia,124224104,800
CAD.AX,error,,,,,
CAE.AX,error,,,,,
CAF.AX,error,,,,,
CAG.AX,error,,,,,
CAI.AX,error,,,,,
CAJ.AX,CAPITOL H FPO,Healthcare,Medical Care Facilities,Australia,385350016,
CAM.AX,error,,,,,
