,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
0001.HK,CKH HOLDINGS,Industrials,Conglomerates,Hong Kong,245629747200,
0002.HK,CLP HOLDINGS,Utilities,Utilities—Regulated Electric,Hong Kong,193652391936,7093
0003.HK,HK & CHINA GAS,Utilities,Utilities—Regulated Gas,Hong Kong,221430415360,53765
0004.HK,WHARF HOLDINGS,Real Estate,Real Estate Services,Hong Kong,72072749056,7100
0005.HK,HSBC HOLDINGS,Financial Services,Banks—Diversified,United Kingdom,1001532424192,224652
0006.HK,POWER ASSETS,Utilities,Utilities—Independent Power Producers,Hong Kong,101910913024,13
0007.HK,error,,,,,
0008.HK,PCCW,Communication Services,Telecom Services,Hong Kong,34783379456,22900
0009.HK,error,,,,,
0010.HK,HANG LUNG GROUP,Real Estate,Real Estate—Diversified,Hong Kong,27852900352,4500
0011.HK,HANG SENG BANK,Financial Services,Banks—Regional,Hong Kong,291555606528,9628
0012.HK,HENDERSON LAND,Real Estate,Real Estate Services,Hong Kong,167256539136,9065
0014.HK,HYSAN DEV,Real Estate,Real Estate Services,Hong Kong,30411223040,489
0015.HK,error,,,,,
0016.HK,SHK PPT,Real Estate,Real Estate—Development,Hong Kong,339935395840,39500
0017.HK,NEW WORLD DEV,Real Estate,Real Estate—Diversified,Hong Kong,104380841984,38000
0018.HK,error,,,,,
0019.HK,SWIRE PACIFIC A,Industrials,Conglomerates,Hong Kong,86263513088,86768
0021.HK,error,,,,,
0022.HK,error,,,,,
0023.HK,BANK OF E ASIA,Financial Services,Banks—Regional,Hong Kong,47637917696,9539
0024.HK,BURWILL,Basic Materials,Steel,Hong Kong,362925024,11
0025.HK,CHEVALIER INT'L,Industrials,Conglomerates,Hong Kong,2910586112,4000
0026.HK,CHINA MOTOR BUS,Real Estate,Real Estate—Development,Hong Kong,4743757824,
0027.HK,GALAXY ENT,Consumer Cyclical,Resorts & Casinos,Hong Kong,297135079424,17750
0028.HK,TIAN AN,Real Estate,Real Estate—Development,Hong Kong,6917996544,1337
0029.HK,DYNAMIC HOLD,Real Estate,Real Estate Services,Hong Kong,3323101696,55
0030.HK,error,,,,,
0031.HK,CHINA AEROSPACE,Technology,Electronic Components,Hong Kong,2036113280,6780
0032.HK,CROSS-HAR(HOLD),Consumer Defensive,Education & Training Services,Hong Kong,4919481344,676
0033.HK,error,,,,,
0034.HK,KOWLOON DEV,Real Estate,Real Estate—Development,Hong Kong,10730865664,2906
0035.HK,FE CONSORT INTL,Real Estate,Real Estate—Development,Hong Kong,6586469888,3700
0036.HK,error,,,,,
0037.HK,error,,,,,
