,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
02NG.L,delisted,,,,,
05NJ.L,delisted,,,,,
0A0B.L,error,,,,,
0A0C.L,STADLER RAIL AG STADLER RAIL OR,,,Switzerland,4378918912,11228
0A1U.L,delisted,,,,,
0A2K.L,delisted,,,,,
0A2L.L,delisted,,,,,
0A3R.L,NIKOLA CORPORATION NIKOLA ORD S,,,United States,,450
0A3T.L,SEA LTD SEA ADS REPRESENTING OR,,,Singapore,,
0A5J.L,delisted,,,,,
0AH7.L,BAYWA AG BAYWA ORD SHS,,,Germany,1286772480,21207
0AI4.L,delisted,,,,,
0APM.L,DANIELI & C OFFICINE MECCANICHE,,,Italy,1162720896,8779
0B4R.L,delisted,,,,,
0B67.L,delisted,,,,,
0BJP.L,delisted,,,,,
0BNS.L,KESKO OYJ KESKO CORPORATION ORD,,,Finland,2213142784,17650
0BNT.L,delisted,,,,,
0BQE.L,KSB AG KSB PREF SHS,,,Germany,443350272,15076
0CHZ.L,Q.BEYOND AG QSC ORD SHS,,,Germany,228620400,
0CIJ.L,RAISIO OYJ RAISIO ORD SHS,,,Finland,618488128,342
0CX9.L,STORA ENSO OYJ STORA ENSO ORD S,,,Finland,,23189
0CXC.L,delisted,,,,,
0D53.L,FINANCIERE DE TUBIZE SA FINANCI,,,Belgium,3627667712,
0DH7.L,AF GRUPPEN ASA AF GRUPPEN ORD S,,,Norway,17617772544,5510
0DHC.L,delisted,,,,,
0DHJ.L,delisted,,,,,
0DI7.L,AFC AJAX NV AJAX ORD SHS,,,Netherlands,233785120,411
0DIP.L,delisted,,,,,
0DJI.L,delisted,,,,,
0DJN.L,ALMA MEDIA OYJ ALMA MEDIA ORD S,,,Finland,,1500
0DJV.L,delisted,,,,,
0DK9.L,delisted,,,,,
0DKX.L,delisted,,,,,
0DLI.L,AMSTERDAM COMMODITIES NV AMS CO,,,Netherlands,489199392,1212
0DLT.L,error,,,,,
0DME.L,ASCOPIAVE SPA ASCOPIAVE ORD SHS,,,Italy,845088320,
0DMM.L,DB X-TRACKERS II EUZN GOV BD 5-,,,United Kingdom,,
0DMT.L,delisted,,,,,
0DMV.L,error,,,,,
0DNH.L,delisted,,,,,
0DNW.L,delisted,,,,,
0DNZ.L,error,,,,,
0DO6.L,delisted,,,,,
0DO7.L,AVENIR TELECOM SA AVENIR TELECO,,,France,9769274,171
0DOL.L,BIOFRONTERA AG BIOFRONTERA N OR,,,Germany,135418688,155
0DOS.L,BANK HANDLOWY W WARSZAWIE SA BA,,,Poland,6632236032,2994
0DP0.L,delisted,,,,,
0DP4.L,BASWARE OYJ BASWARE ORD SHS,,,Finland,485351200,1309
0DPB.L,delisted,,,,,
0DPM.L,delisted,,,,,
0DPU.L,delisted,,,,,
0DQ7.L,delisted,,,,,
0DQK.L,BETER BED HOLDING NV BETER BED ,,,Netherlands,127042408,496
0DQP.L,MARIE BRIZARD WINE AND SPIRITS ,,,France,66986204,1265
0DQZ.L,delisted,,,,,
0DRH.L,delisted,,,,,
0DRV.L,BIOTEC PHARMACON ASA BIOTEC PHA,,,Norway,,
0DS3.L,delisted,,,,,
0DSJ.L,NRC GROUP ASA NRC GROUP ORD SHS,,,Norway,3058622720,1914
0DTF.L,BOIRON SA BOIRON ORD SHS,,,France,615628416,3500
0DTI.L,BONHEUR ASA BONHEUR ORD SHS,,,Norway,6416555008,
0DTK.L,SAVENCIA SA SAVENCIA ORD SHS,,,France,955501952,
0DU3.L,delisted,,,,,
0DUI.L,BASLER AG BASLER ORD SHS,,,Germany,313761248,810
0DUK.L,delisted,,,,,
0DVE.L,delisted,,,,,
0DVR.L,delisted,,,,,
0DW1.L,delisted,,,,,
0DW3.L,error,,,,,
0DW4.L,delisted,,,,,
0DW5.L,error,,,,,
0DW9.L,error,,,,,
0DWV.L,CBRAIN A/S CBRAIN ORD SHS,,,Denmark,,117
0DX8.L,error,,,,,
0DXG.L,CROPENERGIES AG CROPENERGIES OR,,,Germany,1062283712,450
0DXU.L,CEMBRE SPA CEMBRE ORD SHS,,,Italy,386580480,759
0DXV.L,delisted,,,,,
0DYD.L,CENTROTEC SUSTAINABLE AG CENTRO,,,Germany,250969680,3239
0DYQ.L,CEGEDIM SA CEGEDIM ORD SHS,,,France,355418720,5300
0DZ0.L,CHEMOMETEC A/S CHEMOMETEC ORD S,,,Denmark,3238377984,121
0DZC.L,delisted,,,,,
0DZH.L,error,,,,,
0DZJ.L,GROUPE CRIT SA GROUPE CRIT ORD ,,,France,820186688,
0DZN.L,error,,,,,
0DZP.L,error,,,,,
0DZW.L,error,,,,,
0E0C.L,delisted,,,,,
0E0L.L,delisted,,,,,
0E0X.L,error,,,,,
0.L,error,,,,,
0E1L.L,CAPMAN OYJ CAPMAN ORD SHS,,,Finland,408590592,150
0E1Q.L,error,,,,,
0E1Y.L,error,,,,,
0E2B.L,error,,,,,
0E2F.L,CTAC NV CTAC ORD SHS,,,Netherlands,58351160,384
0E3C.L,delisted,,,,,
0E3R.L,error,,,,,
0E3T.L,error,,,,,
0E4J.L,DELTICOM AG DELTICOM ORD SHS,,,Germany,92178752,201
0E4K.L,delisted,,,,,
0E4Q.L,delisted,,,,,
0E4X.L,error,,,,,
0E5A.L,error,,,,,
0E5M.L,delisted,,,,,
0E5Y.L,error,,,,,
0E6H.L,error,,,,,
0E6R.L,delisted,,,,,
0E6Y.L,delisted,,,,,
0E7S.L,delisted,,,,,
0E9V.L,ENERGIEKONTOR AG ENERGIEKONTOR ,,,Germany,992285312,160
0EA2.L,ELICA SPA ELICA ORD SHS,,,Italy,144410960,
0EBQ.L,delisted,,,,,
0EDE.L,NXP SEMICONDUCTORS NV NXP SEMIC,,,Netherlands,56623435776,29000
0EDM.L,delisted,,,,,
0EEE.L,delisted,,,,,
0EEI.L,EVN AG EVN ORD SHS,,,Austria,2302882816,7152
0EEV.L,EXMAR NV EXMAR NV ORD SHS,,,Belgium,200720640,
0EG8.L,delisted,,,,,
0EGH.L,delisted,,,,,
0EGI.L,IMMOBILIERE DASSAULT SA IMMOBIL,,,France,,9
0EIB.L,AUDAX RENOVABLES SA FERSA ENERG,,,Spain,609029248,606
0EIE.L,F-SECURE OYJ F SECURE ORD SHS,,,Finland,644049088,1678
0EKE.L,delisted,,,,,
0EKR.L,delisted,,,,,
0ELC.L,XPO LOGISTICS EUROPE SA XPO LOG,,,France,2963682048,55436
0ELV.L,GUERBET SA GUERBET ORD SHS,,,France,415627296,2600
0ENF.L,BROEDRENE HARTMANN A/S BROEDREN,,,Denmark,2152922368,2500
0ENN.L,HORNBACH BAUMARKT AG HORNBACH-B,,,Germany,1084880640,21937
0EO8.L,HELGELAND SPAREBANK HELGELAND S,,,Norway,,143
0EOF.L,HEXAGON COMPOSITES ASA HEXAGON ,,,Norway,4505911808,1060
0EPW.L,delisted,,,,,
0ES0.L,ICT GROUP NV ICT GROUP ORD SHS,,,Netherlands,159528816,1438
0EUH.L,delisted,,,,,
0EV1.L,CARNIVAL CORP CARNIVAL ORD SHS,,,United States,17781219328,70000
0EVB.L,INYPSA INFORMES Y PROYECTOS SA ,,,Spain,157609520,902
0EVI.L,delisted,,,,,
0EW1.L,delisted,,,,,
0EWD.L,delisted,,,,,
0EWO.L,INVISION AG INVISION ORD SHS,,,Germany,37387676,
0EWR.L,INIT INNOVATION IN TRAFFIC SYST,,,Germany,384016256,
0EXG.L,delisted,,,,,
0EXP.L,delisted,,,,,
0EYG.L,delisted,,,,,
0EYJ.L,error,,,,,
0F07.L,delisted,,,,,
0F08.L,delisted,,,,,
0F0J.L,KITRON ASA KITRON ORD SHS,,,Norway,3957568000,1740
0F1N.L,delisted,,,,,
0F29.L,LASSILA & TIKANOJA OYJ LASSILA ,,,Finland,542250112,8009
0F2N.L,GROUPE LDLC SA GROUPE LDLC ORD ,,,France,90311224,1000
0F2Q.L,LA DORIA SPA LA DORIA ORD SHS,,,Italy,556648704,
0F2S.L,LINEDATA SERVICES SA LINEDATA S,,,France,230838352,1135
0F2Z.L,LEIFHEIT AG LEIFHEIT ORD SHS,,,Germany,450552256,1016
0F4I.L,delisted,,,,,
0F4O.L,LOTUS BAKERIES NV LOTUS BAKERIE,,,Belgium,3576140032,2000
0F58.L,delisted,,,,,
0F6I.L,MANUTAN INTERNATIONAL SA MANUTA,,,France,731997056,1985
0F6L.L,ETABLISSEMENTS MAUREL ET PROM S,,,France,401588256,
0F89.L,NELES OYJ NELES ORD SHS,,,Finland,1332704000,2535
0F8T.L,HEXAOM HEXAOM ORD SHS,,,France,356191808,2164
0F8V.L,MGI COUTIER SA MGI COUTIER ORD ,,,France,781258816,10546
0FA0.L,delisted,,,,,
0FB0.L,delisted,,,,,
0FBS.L,delisted,,,,,
0FC9.L,delisted,,,,,
0FDN.L,delisted,,,,,
0FDT.L,delisted,,,,,
0FF9.L,delisted,,,,,
0FFY.L,delisted,,,,,
0FGH.L,delisted,,,,,
0FGL.L,NEXUS AG NEXUS ORD SHS,,,Germany,914734272,1322
0FH7.L,OHB SE OHB TECHNOLOGY ORD SHS,,,Germany,606990016,
0FHO.L,PIRAEUS PORT AUTHORITY SA PIRAE,,,Greece,605207808,991
0FHP.L,OLAV THON EIENDOMSSELSKAP ASA O,,,Norway,16404347904,
0FHS.L,OLVI OYJ OLVI ORD SHS,,,Finland,1022221184,1911
0FI1.L,delisted,,,,,
0FI5.L,OPERA SOFTWARE ASA OPERA SOFTWA,,,Norway,4250892800,616
0FIN.L,delisted,,,,,
0FIW.L,OSSUR HF OSSUR HF ORD SHS,,,Iceland,17982451712,3385
0FIZ.L,delisted,,,,,
0FJ8.L,delisted,,,,,
0FJC.L,delisted,,,,,
0FLE.L,error,,,,,
0FM1.L,delisted,,,,,
0FM2.L,PICANOL NV PICANOL ORD SHS,,,Belgium,1332971648,7000
0FMN.L,delisted,,,,,
0FMO.L,delisted,,,,,
0FNZ.L,PONSSE OYJ PONSSE ORD SHS,,,Finland,993199104,1845
0FP9.L,BANCA PROFILO SPA BANCA PROFILO,,,Italy,,
0FPB.L,delisted,,,,,
0FQ8.L,PHAROL SGPS SA PHAROL SGPS ORD ,,,Portugal,105981232,8
0FQI.L,delisted,,,,,
0FQR.L,delisted,,,,,
0FRI.L,error,,,,,
0FRJ.L,delisted,,,,,
0FRW.L,ROSENBAUER INTERNATIONAL AG ROS,,,Austria,350079392,3988
0FS8.L,REC SILICON ASA RENEWABLE ENERG,,,Norway,47487762432,
0FSO.L,delisted,,,,,
0FUT.L,delisted,,,,,
0FWN.L,SANDNES SPAREBANK SANDNES SPARE,,,Norway,,
0FWY.L,delisted,,,,,
0G0X.L,FIRST SENSOR AG FIRST SENSOR OR,,,Germany,443922080,892
0G15.L,delisted,,,,,
0G1T.L,WAVESTONE SA WAVESTONE ORD SHS,,,France,436607744,3324
0G29.L,SEMPERIT HOLDING AG SEMPERIT HO,,,Austria,397401248,6943
0G2C.L,SOC MARSEILLAISE TUNNEL PRADO C,,,France,87684160,
0G2X.L,delisted,,,,,
