,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
02NG.L,error,,,,,
05NJ.L,error,,,,,
0A0B.L,error,,,,,
0A0C.L,error,,,,,
0A1U.L,error,,,,,
0A2K.L,error,,,,,
0A2L.L,error,,,,,
0A3R.L,NIKOLA CORPORATION NIKOLA ORD S,,,United States,,450
0A3T.L,SEA LTD SEA ADS REPRESENTING OR,,,Singapore,,33800
0A5J.L,error,,,,,
0AH7.L,error,,,,,
0AI4.L,error,,,,,
0APM.L,error,,,,,
0B4R.L,error,,,,,
0B67.L,error,,,,,
0BJP.L,error,,,,,
0BNS.L,error,,,,,
0BNT.L,error,,,,,
0BQE.L,error,,,,,
0CHZ.L,error,,,,,
0CIJ.L,RAISIO OYJ RAISIO ORD SHS,,,Finland,651123968,342
0CX9.L,error,,,,,
0CXC.L,error,,,,,
0D53.L,error,,,,,
0DH7.L,AF GRUPPEN ASA AF GRUPPEN ORD S,,,Norway,20224485376,5510
0DHC.L,delisted,,,,,
0DHJ.L,error,,,,,
0DI7.L,error,,,,,
0DIP.L,error,,,,,
0DJI.L,error,,,,,
0DJN.L,error,,,,,
0DJV.L,delisted,,,,,
0DK9.L,error,,,,,
0DKX.L,error,,,,,
0DLI.L,AMSTERDAM COMMODITIES NV AMS CO,,,Netherlands,484506816,1212
0DLT.L,error,,,,,
0DME.L,error,,,,,
0DMM.L,error,,,,,
0DMT.L,error,,,,,
0DMV.L,error,,,,,
0DNH.L,error,,,,,
0DNW.L,error,,,,,
0DNZ.L,error,,,,,
0DO6.L,error,,,,,
0DO7.L,error,,,,,
0DOL.L,error,,,,,
0DOS.L,error,,,,,
0DP0.L,delisted,,,,,
0DP4.L,BASWARE OYJ BASWARE ORD SHS,,,Finland,519396768,1334
0DPB.L,error,,,,,
0DPM.L,error,,,,,
0DPU.L,error,,,,,
0DQ7.L,delisted,,,,,
0DQK.L,error,,,,,
0DQP.L,error,,,,,
0DQZ.L,error,,,,,
0DRH.L,error,,,,,
0DRV.L,error,,,,,
0DS3.L,error,,,,,
0DSJ.L,error,,,,,
0DTF.L,BOIRON SA BOIRON ORD SHS,,,France,656796864,2842
0DTI.L,BONHEUR ASA BONHEUR ORD SHS,,,Norway,6416555008,2401
0DTK.L,error,,,,,
0DU3.L,error,,,,,
0DUI.L,error,,,,,
0DUK.L,delisted,,,,,
0DVE.L,error,,,,,
0DVR.L,error,,,,,
0DW1.L,error,,,,,
0DW3.L,error,,,,,
0DW4.L,error,,,,,
0DW5.L,error,,,,,
0DW9.L,error,,,,,
0DWV.L,error,,,,,
0DX8.L,error,,,,,
0DXG.L,CROPENERGIES AG CROPENERGIES OR,,,Germany,925382528,450
0DXU.L,error,,,,,
0DXV.L,error,,,,,
0DYD.L,CENTROTEC SUSTAINABLE AG CENTRO,,,Germany,250969680,3239
0DYQ.L,error,,,,,
0DZ0.L,error,,,,,
0DZC.L,error,,,,,
0DZH.L,error,,,,,
0DZJ.L,error,,,,,
0DZN.L,error,,,,,
