,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
1A0.SI,$ Katrina,Consumer Cyclical,Restaurants,Singapore,25467308,
1A1.SI,$ Wong Fong Ind,Industrials,Farm & Heavy Construction Machinery,Singapore,36190000,
1A4.SI,$ AGV,Industrials,Metal Fabrication,Singapore,14676288,110
1B0.SI,MM2 Asia,Communication Services,Entertainment,Singapore,106978288,
1B1.SI,$ HC Surgical,Healthcare,Diagnostics & Research,Singapore,65109492,
1B5W.SI,error,,,,,
1B6.SI,$ Ocean Sky Intl,Industrials,Engineering & Construction,Singapore,22820900,
1C0.SI,$ ETC Singapore,Real Estate,Real Estate—Development,Singapore,33390484,
1C3.SI,$ Samurai,Basic Materials,Specialty Chemicals,Malaysia,98928896,
1C4W.SI,error,,,,,
1C5.SI,$ Pacific Star Dev,Real Estate,Real Estate—Development,Singapore,21485424,
1D0.SI,$ Kimly,Consumer Cyclical,Restaurants,Singapore,362663296,
1D1.SI,$ UnUsUaL,Communication Services,Advertising Agencies,Singapore,210981904,
1D3.SI,$ LifeBrandz,Consumer Cyclical,Travel Services,Singapore,11331870,
1D4.SI,$ Aoxin Q & M,Healthcare,Medical Care Facilities,Singapore,72880824,
1D5.SI,$ Capital World,Real Estate,Real Estate—Development,Singapore,9160450,
1D8.SI,$ Singapore O&G,Healthcare,Medical Care Facilities,Singapore,123877256,
1000.SI,delisted,,,,,
1000000.SI,error,,,,,
1E7W.SI,error,,,,,
1F0.SI,$ Shopper360,Communication Services,Advertising Agencies,Singapore,11978230,
1F1.SI,$ Y Ventures,Consumer Cyclical,Internet Retail,Singapore,18124500,
1F2.SI,$ Union Gas,Consumer Cyclical,Specialty Retail,Singapore,164829600,
1F3.SI,Aspen,Real Estate,Real Estate—Development,Malaysia,238319408,
1F9W.SI,error,,,,,
1G1.SI,$ RE&S Hldg,Consumer Cyclical,Restaurants,Singapore,58056000,1600
1G5W.SI,error,,,,,
1G6.SI,$ No Signboard,Consumer Cyclical,Restaurants,Singapore,15258936,
1G7W.SI,error,,,,,
1H2.SI,$ Olive Tree,Real Estate,Real Estate—Diversified,Singapore,9432134,
1H3.SI,$ Clearbridge,Healthcare,Diagnostics & Research,Singapore,92582248,
1H4.SI,$ Memories,Consumer Cyclical,Leisure,Myanmar,12052104,
1H7W.SI,error,,,,,
1H8.SI,$ LY Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Malaysia,94404792,
1I5.SI,$ Ayondo,Financial Services,Capital Markets,Singapore,,
1IZW.SI,error,,,,,
1J0.SI,$ SLB Dev,Real Estate,Real Estate Services,Singapore,100430000,
1J1W.SI,error,,,,,
1J3.SI,$ Asian Healthcare,Healthcare,Medical Care Facilities,Singapore,84347608,61
1J4.SI,$ JEP,Industrials,Aerospace & Defense,Singapore,77407720,
1J5.SI,$ Hyphens Pharma,Healthcare,Pharmaceutical Retailers,Singapore,93133304,
1J7.SI,$ Jawala,Basic Materials,Lumber & Wood Production,Malaysia,20140580,72
1M7W.SI,error,,,,,
1W9W.SI,error,,,,,
3UJS.SI,error,,,,,
40B.SI,$ HealthBank,Consumer Cyclical,Lodging,Singapore,5850000,
40D.SI,$ Starburst,Industrials,Aerospace & Defense,Singapore,45385828,
40E.SI,$ Spackman,Communication Services,Entertainment,Singapore,13451621,
40F.SI,$ Alita,Basic Materials,Other Industrial Metals & Mining,Australia,115160760,
40N.SI,$ Versalink,Industrials,Business Equipment & Supplies,Malaysia,16605000,
40R.SI,error,,,,,
40T.SI,$ ISEC,Healthcare,Medical Care Facilities,Singapore,170712672,
40U.SI,$ MS Hldgs,Industrials,Rental & Leasing Services,Singapore,7460505,
40V.SI,$ Alset,Real Estate,Real Estate—Development,Singapore,111614584,
