,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
1A0.SI,error,,,,,
1A1.SI,error,,,,,
1A4.SI,error,,,,,
1B0.SI,MM2 Asia,Communication Services,Entertainment,Singapore,155815872,
1B1.SI,error,,,,,
1B5W.SI,error,,,,,
1B6.SI,error,,,,,
1C0.SI,error,,,,,
1C3.SI,error,,,,,
1C4W.SI,error,,,,,
1C5.SI,error,,,,,
1D0.SI,$ Kimly,Consumer Cyclical,Restaurants,Singapore,380819200,
1D1.SI,error,,,,,
1D3.SI,error,,,,,
1D4.SI,error,,,,,
1D5.SI,error,,,,,
1D8.SI,error,,,,,
1000.SI,error,,,,,
1000000.SI,error,,,,,
1E7W.SI,error,,,,,
1F0.SI,error,,,,,
1F1.SI,error,,,,,
1F2.SI,error,,,,,
1F3.SI,error,,,,,
1F9W.SI,error,,,,,
1G1.SI,error,,,,,
1G5W.SI,error,,,,,
1G6.SI,error,,,,,
1G7W.SI,error,,,,,
1H2.SI,error,,,,,
1H3.SI,error,,,,,
1H4.SI,error,,,,,
1H7W.SI,error,,,,,
1H8.SI,error,,,,,
1I5.SI,error,,,,,
1IZW.SI,error,,,,,
1J0.SI,error,,,,,
1J1W.SI,error,,,,,
1J3.SI,error,,,,,
1J4.SI,error,,,,,
1J5.SI,$ Hyphens Pharma,Healthcare,Pharmaceutical Retailers,Singapore,94635456,
1J7.SI,error,,,,,
1M7W.SI,error,,,,,
1W9W.SI,error,,,,,
3UJS.SI,error,,,,,
40B.SI,error,,,,,
40D.SI,error,,,,,
40E.SI,error,,,,,
40F.SI,error,,,,,
40N.SI,error,,,,,
40R.SI,error,,,,,
40T.SI,error,,,,,
40U.SI,error,,,,,
40V.SI,error,,,,,
40W.SI,error,,,,,
41B.SI,error,,,,,
41F.SI,error,,,,,
41H.SI,error,,,,,
41O.SI,error,,,,,
41S.SI,error,,,,,
41T.SI,error,,,,,
42C.SI,error,,,,,
42D.SI,error,,,,,
42E.SI,error,,,,,
42F.SI,error,,,,,
42G.SI,error,,,,,
42L.SI,error,,,,,
42N.SI,error,,,,,
42QW.SI,error,,,,,
42R.SI,error,,,,,
42S.SI,error,,,,,
42T.SI,error,,,,,
42U.SI,error,,,,,
42W.SI,error,,,,,
42Z.SI,error,,,,,
43A.SI,error,,,,,
43B.SI,error,,,,,
43E.SI,error,,,,,
43F.SI,error,,,,,
43MW.SI,error,,,,,
43P.SI,error,,,,,
43Q.SI,error,,,,,
500.SI,Tai Sin Electric,Industrials,Electrical Equipment & Parts,Singapore,158790400,984
502.SI,error,,,,,
504.SI,error,,,,,
505.SI,error,,,,,
508.SI,error,,,,,
510.SI,error,,,,,
528.SI,error,,,,,
532.SI,error,,,,,
533.SI,error,,,,,
539.SI,error,,,,,
540.SI,error,,,,,
541.SI,error,,,,,
543.SI,error,,,,,
544.SI,CSE Global,Technology,Information Technology Services,Singapore,292069120,1278
546.SI,$ Medtecs Intl,Healthcare,Medical Instruments & Supplies,Taiwan,609846208,
554.SI,error,,,,,
557.SI,error,,,,,
558.SI,UMS,Technology,Semiconductor Equipment & Materials,Singapore,768139264,518
561.SI,error,,,,,
564.SI,error,,,,,
566.SI,SHS,Industrials,Metal Fabrication,Singapore,110305928,375
567.SI,error,,,,,
569.SI,error,,,,,
56OW.SI,error,,,,,
570.SI,error,,,,,
571.SI,error,,,,,
573.SI,error,,,,,
575.SI,error,,,,,
578.SI,error,,,,,
