,name,sector,industry,country,mktCap,fullTimeEmployees
MMM,3M Company,Industrials,Specialty Industrial Machinery,United States,112916791296,95000
ABT,Abbott Laboratories,Healthcare,Medical Devices,United States,216250662912,109000
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers—General,United States,187036680192,47000
ABMD,"ABIOMED, Inc.",Healthcare,Medical Devices,United States,13632623616,1536
ACN,Accenture plc,Technology,Information Technology Services,Ireland,178470600704,537000
ATVI,"Activision Blizzard, Inc",Communication Services,Electronic Gaming & Multimedia,United States,71587266560,9500
ADBE,Adobe Inc.,Technology,Software—Infrastructure,United States,224847036416,22516
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,United States,93768294400,12600
AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,Specialty Retail,United States,12274030592,40000
AES,The AES Corporation,Utilities,Utilities—Diversified,United States,17584707584,8162
AFL,AFLAC Incorporated,Financial Services,Insurance—Life,United States,35452657664,12003
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,38282256384,16400
APD,"Air Products and Chemicals, Inc",Basic Materials,Chemicals,United States,63555178496,19000
AKAM,"Akamai Technologies, Inc.",Technology,Software—Infrastructure,United States,16762693632,8368
ALK,"Alaska Air Group, Inc.",Industrials,Airlines,United States,8487120384,21997
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,United States,17554386944,5900
ARE,Alexandria Real Estate Equities,Real Estate,REIT—Office,United States,23098380288,470
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,34048958464,3837
ALGN,"Align Technology, Inc.",Healthcare,Medical Devices,United States,41808973824,18070
ALLE,Allegion plc,Industrials,Security & Protection Services,Ireland,11500319744,11500
LNT,Alliant Energy Corporation,Utilities,Utilities—Regulated Electric,United States,13486077952,3375
ALL,Allstate Corporation (The),Financial Services,Insurance—Property & Casualty,United States,35142352896,41860
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,United States,1368828805120,135301
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,United States,1368131764224,135301
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,United States,97581228032,7100
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,1536895483904,1298000
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,Switzerland,18400124928,47000
AEE,Ameren Corporation,Utilities,Utilities—Regulated Electric,United States,20805697536,9183
AAL,"American Airlines Group, Inc.",Industrials,Airlines,United States,14667771904,102700
AEP,American Electric Power Company,Utilities,Utilities—Regulated Electric,United States,42211303424,16787
AXP,American Express Company,Financial Services,Credit Services,United States,115475693568,63700
AIG,"American International Group, I",Financial Services,Insurance—Diversified,United States,40489512960,45000
AMT,American Tower Corporation (REI,Real Estate,REIT—Specialty,United States,106127794176,5618
AWK,"American Water Works Company, I",Utilities,Utilities—Regulated Water,United States,26548156416,7000
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,United States,27118596096,12300
ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,United States,24304744448,22000
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,United States,29385455616,16500
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers—General,United States,146043338752,24300
APH,Amphenol Corporation,Technology,Electronic Components,United States,39837683712,80000
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,57956937728,15900
ANSS,"ANSYS, Inc.",Technology,Software—Application,United States,29752395776,4800
ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,United States,90936049664,83400
AON,Aon plc,Financial Services,Insurance Brokers,Ireland,51594407936,50000
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,United States,11227637760,13900
APA,APA Corporation,Energy,Oil & Gas E&P,United States,7102000640,2272
AIV,Apartment Investment and Manage,Real Estate,REIT—Residential,United States,883311360,52
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,2034885591040,147000
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,118047907840,24200
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,Ireland,38037917696,151000
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,United States,32337756160,37575
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,United States,23759736832,2613
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,United States,24534880256,32401
AIZ,"Assurant, Inc.",Financial Services,Insurance—Specialty,United States,8754072576,13600
T,AT&T Inc.,Communication Services,Telecom Services,United States,216366727168,230760
ATO,Atmos Energy Corporation,Utilities,Utilities—Regulated Gas,United States,12462374912,4694
ADSK,"Autodesk, Inc.",Technology,Software—Application,United States,59072446464,11500
ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,United States,82459762688,58000
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,United States,31154083840,60000
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT—Residential,United States,26387347456,2966
AVY,Avery Dennison Corporation,Industrials,Business Equipment & Supplies,United States,15245702144,32000
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,United States,23242536960,55000
BLL,Ball Corporation,Consumer Cyclical,Packaging & Containers,United States,27587237888,21500
BAC,Bank of America Corporation,Financial Services,Banks—Diversified,United States,333702037504,213000
BK,The Bank of New York Mellon Cor,Financial Services,Asset Management,United States,41646403584,48500
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,United States,43471101952,50000
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,United States,71222067200,70000
BRK.B,,,,,,
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,United States,29820366848,61200
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,United States,17374191616,8000
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers—General,United States,42140708864,9100
BLK,"BlackRock, Inc.",Financial Services,Asset Management,United States,115528679424,16500
BA,Boeing Company (The),Industrials,Aerospace & Defense,United States,142915928064,141000
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,United States,95175974912,20097
