,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
AAB.TO,ABERDEEN INTERNATIONAL INC.,Financial Services,Asset Management,Canada,38374560,2
AAV.TO,ADVANTAGE OIL & GAS LTD.,Energy,Oil & Gas E&P,Canada,451471200,39
ABST.TO,ABSOLUTE SOFTWARE CORPORATION,Technology,Software—Application,Canada,837441408,526
ABT.TO,delisted,,,,,
ABX.TO,BARRICK GOLD CORPORATION,Basic Materials,Gold,Canada,44637089792,
AC.TO,AIR CANADA,Industrials,Airlines,Canada,8881157120,
ACB.TO,AURORA CANNABIS INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,2266048768,2731
ACB.WT.TO,delisted,,,,,
ACB.WT.U.TO,error,,,,,
ACD.TO,ACCORD FINANCIAL,Financial Services,Credit Services,Canada,56916752,106
ACD.DB.TO,error,,,,,
ACO.X.TO,error,,,,,
ACO.Y.TO,error,,,,,
ACQ.TO,AUTOCANADA INC,Consumer Cyclical,Auto & Truck Dealerships,Canada,785218048,
ACZ.TO,error,,,,,
AD.DB.TO,error,,,,,
AD.UN.TO,delisted,,,,,
ADN.TO,ACADIAN TIMBER CORP,Basic Materials,Lumber & Wood Production,Canada,324393344,
ADW.A.TO,delisted,,,,,
ADW.B.TO,delisted,,,,,
AEG.TO,AEGIS BRANDS INC,Consumer Cyclical,Restaurants,Canada,26513500,
AEM.TO,AGNICO EAGLE MINES LIMITED,Basic Materials,Gold,Canada,18001840128,6210
AEZS.TO,AETERNA ZENTARIS INC,Healthcare,Biotechnology,United States,186532496,
AFN.TO,AG GROWTH INTERNATIONAL INC.,Industrials,Farm & Heavy Construction Machinery,Canada,801709120,
AFN.DB.D.TO,error,,,,,
AFN.DB.E.TO,error,,,,,
AFN.DB.F.TO,error,,,,,
AFN.DB.G.TO,error,,,,,
AFN.DB.H.TO,error,,,,,
AGF.B.TO,delisted,,,,,
AGI.TO,ALAMOS GOLD INC CLS A,Basic Materials,Gold,Canada,3908131072,1700
AH.TO,ALEAFIA HEALTH INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,198171616,
AH.DB.TO,delisted,,,,,
AH.WT.TO,delisted,,,,,
AH.WT.A.TO,error,,,,,
AHC.TO,APOLLO HEALTHCARE CORP,Consumer Defensive,Household & Personal Products,Canada,325870816,500
AHC.WT.TO,delisted,,,,,
AI.TO,ATRIUM MORTGAGE INVESTMENT CORP,Financial Services,Mortgage Finance,Canada,563654144,
AI.DB.B.TO,error,,,,,
AI.DB.C.TO,error,,,,,
AI.DB.D.TO,error,,,,,
AI.DB.E.TO,error,,,,,
AIF.TO,ALTUS GROUP LIMITED,Real Estate,Real Estate Services,Canada,2514285568,2200
AII.TO,ALMONTY INDUSTRIES INC,Basic Materials,Other Industrial Metals & Mining,Canada,205296048,431
AIM.TO,AIMIA INC,Industrials,Specialty Business Services,Canada,488337728,18
AIM.PR.A.TO,error,,,,,
AIM.PR.C.TO,error,,,,,
AJX.TO,AGJUNCTION INC,Technology,Communication Equipment,United States,65389684,
AKT.A.TO,delisted,,,,,
AKT.B.TO,delisted,,,,,
AKU.TO,AKUMIN INC,Healthcare,Diagnostics & Research,Canada,319302272,1737
ALA.TO,ALTAGAS LTD.,Utilities,Utilities—Regulated Gas,Canada,5835834880,2984
ALA.PR.A.TO,error,,,,,
ALA.PR.B.TO,error,,,,,
ALA.PR.E.TO,error,,,,,
ALA.PR.G.TO,error,,,,,
ALA.PR.H.TO,error,,,,,
ALA.PR.I.TO,error,,,,,
ALA.PR.K.TO,error,,,,,
ALA.PR.U.TO,error,,,,,
ALB.TO,ALLBANC SPLIT BANC CORP II,Basic Materials,Specialty Chemicals,Canada,28104626,
ALB.PR.C.TO,error,,,,,
ALC.TO,ALGOMA CENTRAL,Industrials,Marine Shipping,Canada,622580800,1600
ALC.DB.A.TO,error,,,,,
ALFA.TO,error,,,,,
ALS.TO,ALTIUS MINERALS CORPORATION,Basic Materials,Other Industrial Metals & Mining,Canada,598937984,15
ALYA.TO,ALITHYA GROUP INC,Technology,Information Technology Services,Canada,191035728,2200
AMM.TO,ALMADEN MINERALS LTD.,Basic Materials,Gold,Canada,96054696,
AND.TO,ANDLAUER HEALTHCARE GROUP INC,Healthcare,Medical Distribution,Canada,1439665792,
ANX.TO,ANACONDA MINING INC,Basic Materials,Gold,Canada,124934928,
AOI.TO,AFRICA OIL CORP,Energy,Oil & Gas E&P,Canada,556912768,
AOT.TO,ASCOT RESOURCES LTD,Basic Materials,Other Industrial Metals & Mining,Canada,275341792,
AP.UN.TO,delisted,,,,,
APHA.TO,APHRIA INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,6912466944,1200
APLI.TO,APPILI THERAPEUTICS INC,Healthcare,Biotechnology,Canada,62578200,
APR.UN.TO,delisted,,,,,
APS.TO,APTOSE BIOSCIENCES INC,Healthcare,Biotechnology,Canada,655972800,39
APY.TO,ANGLO PACIFIC GROUP PLC,Basic Materials,Coking Coal,United Kingdom,485279904,11
AQA.TO,AQUILA RESOURCES INC.,Basic Materials,Other Industrial Metals & Mining,Canada,30470042,19
AQN.TO,ALGONQUIN POWER AND UTILITIES C,Utilities,Utilities—Renewable,Canada,11961626624,3441
AQN.PR.A.TO,error,,,,,
AQN.PR.D.TO,error,,,,,
AR.TO,ARGONAUT GOLD INC.,Basic Materials,Gold,United States,675268544,
AR.DB.U.TO,error,,,,,
ARB.TO,error,,,,,
ARE.TO,AECON GROUP INC,Industrials,Engineering & Construction,Canada,1176694912,5260
ARE.DB.C.TO,error,,,,,
ARG.TO,AMERIGO RESOURCES LTD.,Basic Materials,Copper,Canada,160884400,
ARX.TO,ARC RESOURCES LTD.,Energy,Oil & Gas E&P,Canada,2717430784,
ASM.TO,AVINO SILVER AND GOLD MINES LTD,Basic Materials,Silver,Canada,156678464,
ASND.TO,ASCENDANT RESOURCES INC,Basic Materials,Other Industrial Metals & Mining,Canada,16177728,
ASND.WT.TO,error,,,,,
ASP.TO,ACERUS PHARMACEUTICALS CORP,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,76879504,10
ASP.RT.TO,error,,,,,
AT.TO,ACUITYADS HOLDINGS INC,Communication Services,Internet Content & Information,Canada,875052288,173
ATA.TO,ATS AUTOMATION,Industrials,Specialty Industrial Machinery,Canada,2481069312,4500
ATD.A.TO,delisted,,,,,
ATD.B.TO,delisted,,,,,
ATE.TO,ANTIBE THERAPEUTICS INC,Healthcare,Biotechnology,Canada,227991088,47
ATH.TO,ATHABASCA OIL CORP,Energy,Oil & Gas E&P,Canada,254724000,140
ATP.TO,ATLANTIC POWER CORP.,Utilities,Utilities—Independent Power Producers,United States,317588640,261
ATP.DB.E.TO,error,,,,,
ATSX.TO,error,,,,,
ATZ.TO,ARITZIA INC,Consumer Cyclical,Apparel Retail,Canada,3261100800,3480
AUGB.F.TO,delisted,,,,,
AUMN.TO,GOLDEN MINERALS COMPANY,Basic Materials,Other Precious Metals & Mining,United States,137277024,192
AUP.TO,AURINIA PHARMACEUTICALS INC,Healthcare,Biotechnology,Canada,2006078720,294
AVCN.TO,AVICANNA INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,43416972,139
AVL.TO,AVALON ADVANCED MATERIALS INC,Basic Materials,Other Industrial Metals & Mining,Canada,73198232,
AVP.TO,AVCORP INDUSTRIES INC.,Industrials,Aerospace & Defense,Canada,31290116,546
AW.UN.TO,delisted,,,,,
AX.PR.A.TO,error,,,,,
AX.PR.E.TO,error,,,,,
AX.PR.I.TO,error,,,,,
AX.UN.TO,delisted,,,,,
AXU.TO,ALEXCO RESOURCE CORP,Basic Materials,Other Precious Metals & Mining,Canada,461275776,130
AYA.TO,AYA GOLD AND SILVER INC,Basic Materials,Other Precious Metals & Mining,Canada,451768832,
AYM.TO,ATALAYA MINING PLC,Basic Materials,Copper,Cyprus,726620992,483
AZP.PR.A.TO,error,,,,,
AZP.PR.B.TO,error,,,,,
AZP.PR.C.TO,error,,,,,
AZZ.TO,AZARGA URANIUM CORP,Energy,Uranium,Canada,64796760,
BAD.TO,BADGER DAYLIGHTING LTD.,Industrials,Engineering & Construction,Canada,1499410432,1875
BAM.A.TO,delisted,,,,,
BAM.PF.A.TO,error,,,,,
BAM.PF.B.TO,error,,,,,
BAM.PF.C.TO,error,,,,,
BAM.PF.D.TO,error,,,,,
BAM.PF.E.TO,error,,,,,
BAM.PF.F.TO,error,,,,,
BAM.PF.G.TO,error,,,,,
BAM.PF.H.TO,error,,,,,
BAM.PF.I.TO,error,,,,,
BAM.PF.J.TO,error,,,,,
BAM.PR.B.TO,error,,,,,
BAM.PR.C.TO,error,,,,,
BAM.PR.E.TO,error,,,,,
BAM.PR.G.TO,error,,,,,
