,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
AAB.TO,error,,,,,
AAV.TO,ADVANTAGE OIL & GAS LTD.,Energy,Oil & Gas E&P,Canada,613248384,39
ABST.TO,ABSOLUTE SOFTWARE CORPORATION,Technology,Software—Application,Canada,904240256,526
ABT.TO,error,,,,,
ABX.TO,BARRICK GOLD CORPORATION,Basic Materials,Gold,Canada,46575513600,
AC.TO,AIR CANADA,Industrials,Airlines,Canada,8291980800,
ACB.TO,AURORA CANNABIS INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,2167880960,2731
ACB.WT.TO,error,,,,,
ACB.WT.U.TO,error,,,,,
ACD.TO,error,,,,,
ACD.DB.TO,error,,,,,
ACO.X.TO,error,,,,,
ACO.Y.TO,error,,,,,
ACQ.TO,AUTOCANADA INC,Consumer Cyclical,Auto & Truck Dealerships,Canada,1289456512,
ACZ.TO,MIDDLEFIELD AMERICAN CORE DIVID,,,,,
AD.DB.TO,error,,,,,
AD.UN.TO,error,,,,,
ADN.TO,ACADIAN TIMBER CORP,Basic Materials,Lumber & Wood Production,Canada,338744064,
ADW.A.TO,error,,,,,
ADW.B.TO,error,,,,,
AEG.TO,error,,,,,
AEM.TO,AGNICO EAGLE MINES LIMITED,Basic Materials,Gold,Canada,18720651264,6210
AEZS.TO,AETERNA ZENTARIS INC,Healthcare,Biotechnology,United States,158711728,12
AFN.TO,AG GROWTH INTERNATIONAL INC.,Industrials,Farm & Heavy Construction Machinery,Canada,806763008,
AFN.DB.D.TO,error,,,,,
AFN.DB.E.TO,error,,,,,
AFN.DB.F.TO,error,,,,,
AFN.DB.G.TO,error,,,,,
AFN.DB.H.TO,error,,,,,
AGF.B.TO,error,,,,,
AGI.TO,ALAMOS GOLD INC CLS A,Basic Materials,Gold,Canada,3868479488,1700
AH.TO,ALEAFIA HEALTH INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,171748720,
AH.DB.TO,error,,,,,
AH.WT.TO,error,,,,,
AH.WT.A.TO,error,,,,,
AHC.TO,APOLLO HEALTHCARE CORP,Consumer Defensive,Household & Personal Products,Canada,295846784,500
AHC.WT.TO,error,,,,,
AI.TO,ATRIUM MORTGAGE INVESTMENT CORP,Financial Services,Mortgage Finance,Canada,583163648,
AI.DB.B.TO,error,,,,,
AI.DB.C.TO,error,,,,,
AI.DB.D.TO,error,,,,,
AI.DB.E.TO,error,,,,,
AIF.TO,ALTUS GROUP LIMITED,Real Estate,Real Estate Services,Canada,2573496832,2200
AII.TO,error,,,,,
AIM.TO,AIMIA INC,Industrials,Specialty Business Services,Canada,454117056,18
AIM.PR.A.TO,error,,,,,
AIM.PR.C.TO,error,,,,,
AJX.TO,error,,,,,
AKT.A.TO,error,,,,,
AKT.B.TO,error,,,,,
AKU.TO,AKUMIN INC,Healthcare,Diagnostics & Research,United States,273507584,
ALA.TO,ALTAGAS LTD.,Utilities,Utilities—Regulated Gas,Canada,6419977216,2984
ALA.PR.A.TO,error,,,,,
ALA.PR.B.TO,error,,,,,
ALA.PR.E.TO,error,,,,,
ALA.PR.G.TO,error,,,,,
ALA.PR.H.TO,error,,,,,
ALA.PR.I.TO,error,,,,,
ALA.PR.K.TO,error,,,,,
ALA.PR.U.TO,error,,,,,
ALB.TO,error,,,,,
ALB.PR.C.TO,error,,,,,
ALC.TO,ALGOMA CENTRAL,Industrials,Marine Shipping,Canada,639213184,1600
ALC.DB.A.TO,error,,,,,
ALFA.TO,ACCELERATE PRIVATE EQUITY ALPHA,,,,,
ALS.TO,ALTIUS MINERALS CORPORATION,Basic Materials,Other Industrial Metals & Mining,Canada,693290432,15
ALYA.TO,ALITHYA GROUP INC,Technology,Information Technology Services,Canada,229419568,2200
AMM.TO,ALMADEN MINERALS LTD.,Basic Materials,Gold,Canada,100171328,
AND.TO,ANDLAUER HEALTHCARE GROUP INC,Healthcare,Medical Distribution,Canada,1435062528,
ANX.TO,ANACONDA MINING INC,Basic Materials,Gold,Canada,105714176,
AOI.TO,AFRICA OIL CORP,Energy,Oil & Gas E&P,Canada,567902400,
AOT.TO,ASCOT RESOURCES LTD,Basic Materials,Other Industrial Metals & Mining,Canada,328261120,16
AP.UN.TO,error,,,,,
APHA.TO,APHRIA INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,5981089280,1200
APLI.TO,error,,,,,
APR.UN.TO,error,,,,,
APS.TO,APTOSE BIOSCIENCES INC,Healthcare,Biotechnology,Canada,613708096,39
APY.TO,ANGLO PACIFIC GROUP PLC,Basic Materials,Coking Coal,United Kingdom,509454368,9
AQA.TO,error,,,,,
AQN.TO,ALGONQUIN POWER AND UTILITIES C,Utilities,Utilities—Renewable,Canada,11871823872,3441
AQN.PR.A.TO,error,,,,,
AQN.PR.D.TO,error,,,,,
AR.TO,ARGONAUT GOLD INC.,Basic Materials,Gold,United States,834934528,
AR.DB.U.TO,error,,,,,
ARB.TO,ACCELERATE ARBITRAGE FUND ETF,,,,,
ARE.TO,AECON GROUP INC,Industrials,Engineering & Construction,Canada,1124901248,5260
ARE.DB.C.TO,error,,,,,
ARG.TO,AMERIGO RESOURCES LTD.,Basic Materials,Copper,Canada,224153552,
ARX.TO,ARC RESOURCES LTD.,Energy,Oil & Gas E&P,Canada,5594718720,
ASM.TO,AVINO SILVER AND GOLD MINES LTD,Basic Materials,Other Precious Metals & Mining,Canada,151688704,
ASND.TO,error,,,,,
ASND.WT.TO,error,,,,,
ASP.TO,error,,,,,
ASP.RT.TO,error,,,,,
AT.TO,ACUITYADS HOLDINGS INC,Communication Services,Internet Content & Information,Canada,748442240,173
ATA.TO,ATS AUTOMATION,Industrials,Specialty Industrial Machinery,Canada,2728624128,4500
ATD.A.TO,error,,,,,
ATD.B.TO,error,,,,,
ATE.TO,ANTIBE THERAPEUTICS INC,Healthcare,Biotechnology,Canada,191585312,47
ATH.TO,ATHABASCA OIL CORP,Energy,Oil & Gas E&P,Canada,318405024,140
ATP.TO,ATLANTIC POWER CORP.,Utilities,Utilities—Independent Power Producers,United States,333737216,261
ATP.DB.E.TO,error,,,,,
ATSX.TO,ACCELERATE ENHANCED CDN BM ALT ,,,,,
ATZ.TO,ARITZIA INC,Consumer Cyclical,Apparel Retail,Canada,3360818688,3480
AUGB.F.TO,error,,,,,
AUMN.TO,GOLDEN MINERALS COMPANY,Basic Materials,Other Precious Metals & Mining,United States,145610992,192
AUP.TO,AURINIA PHARMACEUTICALS INC,Healthcare,Biotechnology,Canada,2080000256,294
AVCN.TO,error,,,,,
AVL.TO,AVALON ADVANCED MATERIALS INC,Basic Materials,Other Industrial Metals & Mining,Canada,60998524,
AVP.TO,error,,,,,
AW.UN.TO,error,,,,,
AX.PR.A.TO,error,,,,,
AX.PR.E.TO,error,,,,,
AX.PR.I.TO,error,,,,,
AX.UN.TO,error,,,,,
AXU.TO,ALEXCO RESOURCE CORP,Basic Materials,Other Precious Metals & Mining,Canada,474049568,130
AYA.TO,AYA GOLD AND SILVER INC,Basic Materials,Other Precious Metals & Mining,Canada,712078272,
AYM.TO,ATALAYA MINING PLC,Basic Materials,Copper,Cyprus,781006592,483
AZP.PR.A.TO,error,,,,,
AZP.PR.B.TO,error,,,,,
AZP.PR.C.TO,error,,,,,
AZZ.TO,AZARGA URANIUM CORP,Energy,Uranium,Canada,68335272,6
BAD.TO,BADGER DAYLIGHTING LTD.,Industrials,Engineering & Construction,Canada,1449221120,1875
BAM.A.TO,error,,,,,
BAM.PF.A.TO,error,,,,,
BAM.PF.B.TO,error,,,,,
BAM.PF.C.TO,error,,,,,
BAM.PF.D.TO,error,,,,,
BAM.PF.E.TO,error,,,,,
BAM.PF.F.TO,error,,,,,
BAM.PF.G.TO,error,,,,,
BAM.PF.H.TO,error,,,,,
BAM.PF.I.TO,error,,,,,
BAM.PF.J.TO,error,,,,,
BAM.PR.B.TO,error,,,,,
BAM.PR.C.TO,error,,,,,
BAM.PR.E.TO,error,,,,,
BAM.PR.G.TO,error,,,,,
