,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
A.V,ARMOR MINERALS INC,Basic Materials,Other Industrial Metals & Mining,Canada,47963776,
AAG.V,AFTERMATH SILVER LTD,Basic Materials,Other Industrial Metals & Mining,Canada,114753600,
AAJC.P.V,error,,,,,
AAN.V,ATON RESOURCES INC,Basic Materials,Other Industrial Metals & Mining,Canada,7916985,
AAP.H.V,delisted,,,,,
AAT.V,ATI AIRTEST TECHNOLOGIES INC,Industrials,Specialty Industrial Machinery,Canada,10650700,
AAX.V,ADVANCE GOLD CORP,Basic Materials,Gold,Canada,4773807,
AAZ.V,AZINCOURT ENERGY CORP,Energy,Uranium,Canada,28834562,
ABI.V,Abcourt Mines Inc.,Basic Materials,Gold,Canada,43594460,
ABN.V,ABEN RESOURCES LTD.,Basic Materials,Gold,Canada,8348209,
ABR.V,ARBOR METALS CORP,Basic Materials,Other Industrial Metals & Mining,Canada,132271552,
ABRA.V,ABRASILVER RESOURCE CORP,Basic Materials,Other Precious Metals & Mining,Canada,193999520,
ABZ.V,ASIABASEMETALS INC.,Basic Materials,Other Industrial Metals & Mining,Canada,10110179,
ACC.P.V,delisted,,,,,
ACE.H.V,delisted,,,,,
ACP.V,ARCPACIFIC RESOURCES CORP,Basic Materials,Other Industrial Metals & Mining,Canada,3988496,
ACS.V,ARCHON MINERALS LIMITED,Basic Materials,Other Precious Metals & Mining,Canada,16052955,
ACST.V,ACASTI PHARMA INC,Healthcare,Biotechnology,Canada,154092400,32
ACU.V,AURORA SOLAR TECHNOLOGIES INC,Technology,Solar,Canada,41195416,
ADCO.V,ADCORE INC,Technology,Software—Application,Israel,118881480,
ADD.V,ARCTIC STAR EXPLORATION CORP,Basic Materials,Other Precious Metals & Mining,Canada,4407340,
ADE.V,ADEX MINING INC.,Basic Materials,Other Industrial Metals & Mining,Canada,13544220,
ADG.V,ARCUS DEVELOPMENT GROUP INC,Basic Materials,Gold,Canada,2165733,
ADK.V,DIAGNOS INC.,Healthcare,Health Information Services,Canada,34781724,
ADYA.V,ADYA INC,Communication Services,Telecom Services,Canada,7084050,
ADZ.V,ADAMERA MINERALS CORP,Basic Materials,Other Precious Metals & Mining,Canada,16639770,
ADZN.V,ADVENTUS MINING CORPORATION,Basic Materials,Other Industrial Metals & Mining,Canada,131091000,
AEC.V,ANFIELD ENERGY INC,Energy,Uranium,Canada,18990730,5
AEL.H.V,delisted,,,,,
AEP.V,ATLAS ENGINEERED PRODUCTS LTD,Industrials,Engineering & Construction,Canada,17606338,
AEX.V,AEX GOLD INC,Basic Materials,Gold,Canada,88549504,
AFCC.V,AUTOMOTIVE FINCO CORP,Financial Services,Mortgage Finance,Canada,39772936,
AFE.V,AFRICA ENERGY CORP,Energy,Oil & Gas E&P,Canada,411622336,
AFF.V,AFFINITY METALS CORP,Basic Materials,Other Industrial Metals & Mining,Canada,7525136,
AFM.V,ALPHAMIN RESOURCES CORP.,Basic Materials,Other Industrial Metals & Mining,Mauritius,708222080,
AGC.V,AMARILLO GOLD CORP.,Basic Materials,Gold,Canada,105069528,
AGD.V,ANTIOQUIA GOLD INC.,Basic Materials,Gold,Canada,37975920,
AGG.V,AFRICAN GOLD GROUP INC.,Basic Materials,Gold,Canada,21586320,
AGH.H.V,delisted,,,,,
AGL.V,AGUILA AMERICAN GOLD LTD.,Basic Materials,Gold,Canada,4646345,
AGLD.V,AUSTRAL GOLD LIMITED,Basic Materials,Other Precious Metals & Mining,Australia,103629248,
AGO.V,AURCREST GOLD INC,Basic Materials,Gold,Canada,20376342,
AHE.H.V,delisted,,,,,
AHP.V,Allied Hotel Properties Inc,Consumer Cyclical,Lodging,Canada,28176654,68
AHR.V,Amarc Resources Ltd.,Basic Materials,Other Industrial Metals & Mining,Canada,18060302,
AHU.V,delisted,,,,,
AIR.V,CLEAN AIR METALS INC,Basic Materials,Other Precious Metals & Mining,Canada,55898384,
AIS.V,AIS RESOURCES LIMITED,Basic Materials,Other Industrial Metals & Mining,Canada,11405100,
AKH.H.V,delisted,,,,,
AKR.V,ACKROO INC,Technology,Software—Application,Canada,25026260,
AL.V,ALX RESOURCES CORP,Energy,Uranium,Canada,13674690,
ALDE.V,ALDEBARAN RESOURCES INC,Basic Materials,Other Industrial Metals & Mining,Canada,44945280,
ALLI.V,ALPHA LITHIUM CORPORATION,Basic Materials,Other Industrial Metals & Mining,Canada,88099544,
ALM.V,ALLIANCE MINING CORP,Basic Materials,Gold,Canada,921082,
ALT.V,ALTURAS MINERALS CORP,Basic Materials,Other Industrial Metals & Mining,Canada,5070870,3
ALTA.V,ALTAMIRA GOLD CORP,Basic Materials,Gold,Canada,37219456,
ALTN.P.V,delisted,,,,,
ALTS.V,ALTUS STRATEGIES PLC,Basic Materials,Other Industrial Metals & Mining,United Kingdom,97491936,28
ALV.V,ALVOPETRO ENERGY LTD,Energy,Oil & Gas E&P,Canada,106679008,
ALY.V,ANALYTIXINSIGHT INC,Technology,Software—Application,Canada,70576664,
AM.V,ACADEMY METALS INC,Basic Materials,Gold,Canada,1424064,
AMC.V,ARIZONA METALS CORP,Basic Materials,Other Industrial Metals & Mining,Canada,160463984,
AME.V,ABACUS MINING AND EXPLORATION,Basic Materials,Other Industrial Metals & Mining,Canada,13322682,
AMH.V,APPRECIATED MEDIA HOLDINGS INC,Communication Services,Entertainment,Canada,2411885,
AMI.V,ATHABASCA MINERALS INC,Basic Materials,Other Industrial Metals & Mining,Canada,14608800,
AMK.V,AMERICAN CREEK RESOURCES LTD.,Basic Materials,Other Precious Metals & Mining,Canada,113700304,
AMO.V,ALTAN RIO MINERALS LIMITED,Basic Materials,Gold,Canada,12739381,
AMR.V,AM RESOURCES CORP,Basic Materials,Other Industrial Metals & Mining,Canada,6753600,
AMX.V,AMEX EXPLORATION INC,Basic Materials,Gold,Canada,219504144,
AMY.V,AMERICAN MANGANESE INC,Basic Materials,Other Industrial Metals & Mining,Canada,296395296,
AMZ.V,AZUCAR MINERALS LTD,Basic Materials,Other Precious Metals & Mining,Canada,8490335,
AN.V,ARENA MINERALS INC,Basic Materials,Copper,Canada,29793150,
ANE.V,ALTAN NEVADA MINERALS LIMITED,Basic Materials,Other Industrial Metals & Mining,Canada,2764946,
ANG.V,ANGEL GOLD CORP,Basic Materials,Other Precious Metals & Mining,Canada,2106608,
ANK.V,ANGKOR RESOURCES CORP,Basic Materials,Gold,Canada,7491600,
ANL.H.V,delisted,,,,,
ANTL.V,ANTLER GOLD INC,Basic Materials,Gold,Canada,12269640,
ANTV.P.V,delisted,,,,,
ANZ.V,ALIANZA MINERALS LTD,Basic Materials,Other Precious Metals & Mining,Canada,14499450,
AORO.V,ALORO MINING CORP,Basic Materials,Gold,Canada,2564405,
APC.V,ADVANCED PROTEOME THERAPEUTICS ,Healthcare,Biotechnology,Canada,8342223,
APGO.V,APOLLO GOLD AND SILVER CORP,Basic Materials,Other Precious Metals & Mining,Canada,22106874,
APL.V,APPULSE CORP.,Industrials,Pollution & Treatment Controls,Canada,4994352,
APN.V,ALTIPLANO METALS INC,Basic Materials,Other Industrial Metals & Mining,Canada,33053580,
APX.V,APEX RESOURCES INC,Basic Materials,Other Industrial Metals & Mining,Canada,2333428,
AQS.V,AEQUUS PHARMACEUTICALS INC,Healthcare,Drug Manufacturers—Specialty & Generic,Canada,26088260,
AQS.DB.V,error,,,,,
AQUA.V,AQUARIUS AI INC,Communication Services,Advertising Agencies,Canada,8743402,
ARCH.V,ARCH BIOPARTNERS INC,Healthcare,Biotechnology,Canada,78671744,
ARD.V,ARMADA DATA CORP.,Industrials,Conglomerates,Canada,2297139,
