,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
A.V,error,,,,,
AAG.V,AFTERMATH SILVER LTD,Basic Materials,Other Industrial Metals & Mining,Canada,86702720,
AAJC.P.V,error,,,,,
AAN.V,error,,,,,
AAP.H.V,error,,,,,
AAT.V,ATI AIRTEST TECHNOLOGIES INC,Industrials,Specialty Industrial Machinery,Canada,9372616,
AAX.V,error,,,,,
AAZ.V,error,,,,,
ABI.V,error,,,,,
ABN.V,error,,,,,
ABR.V,error,,,,,
ABRA.V,ABRASILVER RESOURCE CORP,Basic Materials,Other Precious Metals & Mining,Canada,271999328,
ABZ.V,error,,,,,
ACC.P.V,error,,,,,
ACE.H.V,error,,,,,
ACP.V,error,,,,,
ACS.V,error,,,,,
ACST.V,ACASTI PHARMA INC,Healthcare,Biotechnology,Canada,118070792,32
ACU.V,AURORA SOLAR TECHNOLOGIES INC,Technology,Solar,Canada,37021688,
ADCO.V,error,,,,,
ADD.V,error,,,,,
ADE.V,error,,,,,
ADG.V,error,,,,,
ADK.V,error,,,,,
ADYA.V,error,,,,,
ADZ.V,ADAMERA MINERALS CORP,Basic Materials,Other Precious Metals & Mining,Canada,17618580,
ADZN.V,ADVENTUS MINING CORPORATION,Basic Materials,Other Industrial Metals & Mining,Canada,142889200,
AEC.V,error,,,,,
AEL.H.V,error,,,,,
AEP.V,error,,,,,
AEX.V,error,,,,,
AFCC.V,error,,,,,
AFE.V,AFRICA ENERGY CORP,Energy,Oil & Gas E&P,Canada,355809152,
AFF.V,error,,,,,
AFM.V,ALPHAMIN RESOURCES CORP.,Basic Materials,Other Industrial Metals & Mining,Mauritius,743633152,
AGC.V,AMARILLO GOLD CORP.,Basic Materials,Gold,Canada,95517752,
AGD.V,error,,,,,
AGG.V,AFRICAN GOLD GROUP INC.,Basic Materials,Gold,Canada,31480050,
AGH.H.V,error,,,,,
AGL.V,error,,,,,
AGLD.V,error,,,,,
AGO.V,error,,,,,
AHE.H.V,error,,,,,
AHP.V,error,,,,,
AHR.V,error,,,,,
AHU.V,error,,,,,
AIR.V,CLEAN AIR METALS INC,Basic Materials,Other Precious Metals & Mining,Canada,57542452,
AIS.V,error,,,,,
AKH.H.V,error,,,,,
AKR.V,error,,,,,
AL.V,error,,,,,
ALDE.V,error,,,,,
ALLI.V,ALPHA LITHIUM CORPORATION,Basic Materials,Other Industrial Metals & Mining,Canada,90387856,
ALM.V,error,,,,,
ALT.V,error,,,,,
ALTA.V,error,,,,,
ALTN.P.V,error,,,,,
ALTS.V,ALTUS STRATEGIES PLC,Basic Materials,Other Industrial Metals & Mining,United Kingdom,88332576,28
ALV.V,ALVOPETRO ENERGY LTD,Energy,Oil & Gas E&P,Canada,88733000,
ALY.V,error,,,,,
AM.V,error,,,,,
AMC.V,error,,,,,
AME.V,error,,,,,
AMH.V,error,,,,,
AMI.V,error,,,,,
AMK.V,error,,,,,
AMO.V,error,,,,,
AMR.V,error,,,,,
AMX.V,error,,,,,
AMY.V,error,,,,,
AMZ.V,AZUCAR MINERALS LTD,Basic Materials,Other Precious Metals & Mining,Canada,8859480,
AN.V,error,,,,,
ANE.V,error,,,,,
ANG.V,error,,,,,
ANK.V,error,,,,,
ANL.H.V,error,,,,,
ANTL.V,error,,,,,
ANTV.P.V,error,,,,,
ANZ.V,ALIANZA MINERALS LTD,Basic Materials,Other Precious Metals & Mining,Canada,14499450,
AORO.V,error,,,,,
APC.V,error,,,,,
APGO.V,error,,,,,
APL.V,error,,,,,
APN.V,error,,,,,
APX.V,error,,,,,
AQS.V,error,,,,,
AQS.DB.V,error,,,,,
AQUA.V,error,,,,,
ARCH.V,error,,,,,
ARD.V,error,,,,,
ARH.V,error,,,,,
ARIC.V,AWALE RESOURCES LIMITED,Basic Materials,Gold,Canada,9182940,
ARJN.V,error,,,,,
ARS.V,error,,,,,
ART.V,ARHT MEDIA INC,Technology,Software—Application,Canada,27078390,20
ARTG.V,ARTEMIS GOLD INC,Basic Materials,Gold,Canada,721631040,10
ARU.V,error,,,,,
ARU.WT.V,error,,,,,
ASG.V,error,,,,,
ASI.V,error,,,,,
ASL.V,error,,,,,
AST.V,error,,,,,
ATC.V,error,,,,,
ATE.V,error,,,,,
ATI.V,error,,,,,
ATU.V,error,,,,,
ATW.V,error,,,,,
ATX.V,error,,,,,
ATY.V,error,,,,,
AU.V,AURION RESOURCES LTD.,Basic Materials,Gold,Canada,78490456,
AUAU.V,ALLEGIANT GOLD LTD,Basic Materials,Gold,Canada,21751128,
AUEN.V,error,,,,,
AUL.V,error,,,,,
AUMB.V,1911 GOLD CORPORATION,Basic Materials,Gold,Canada,27373462,
AUN.V,AURCANA SILVER CORPORATION,Basic Materials,Silver,Canada,208954880,
AUQ.V,error,,,,,
AUR.H.V,error,,,,,
AUS.H.V,error,,,,,
AUT.H.V,error,,,,,
AUU.V,error,,,,,
AUX.V,error,,,,,
AVCR.V,error,,,,,
AVG.V,error,,,,,
AVN.V,error,,,,,
AVU.V,error,,,,,
AWE.V,error,,,,,
AWI.V,error,,,,,
AWX.V,error,,,,,
AXE.V,error,,,,,
AXIS.V,error,,,,,
AXL.V,error,,,,,
AXM.V,AXMIN INC,Basic Materials,Gold,Canada,6828100,
AZ.V,error,,,,,
AZM.V,Azimut Exploration Inc.,Basic Materials,Other Industrial Metals & Mining,Canada,65048000,
AZR.V,error,,,,,
AZS.V,error,,,,,
AZT.V,error,,,,,
B.V,error,,,,,
BABY.V,ELSE NUTRITION HOLDINGS INC,Consumer Defensive,Packaged Foods,Israel,255434304,
BABY.WT.V,error,,,,,
BAL.H.V,error,,,,,
BARU.V,BARU GOLD CORP,Basic Materials,Gold,Canada,19528740,
BAT.V,error,,,,,
BAU.V,error,,,,,
BAV.H.V,error,,,,,
BAY.V,ASTON BAY HOLDINGS LTD,Basic Materials,Other Precious Metals & Mining,Canada,6559000,
BBB.V,BRIXTON METALS CORPORATION,Basic Materials,Other Precious Metals & Mining,Canada,44507476,
BCF.V,error,,,,,
BCK.V,error,,,,,
BCM.V,BEAR CREEK MINING CORP.,Basic Materials,Other Industrial Metals & Mining,Canada,246638608,40
BCT.V,BRIACELL THERAPEUTICS CORP,Healthcare,Biotechnology,Canada,30201984,
