,name,sector,industry,country,mktCap,fullTimeEmployees
ticker,error,,,,,
1301.T,KYOKUYO CO LTD,Consumer Defensive,Packaged Foods,Japan,34960326656,2307
1305.T,error,,,,,
1306.T,error,,,,,
1308.T,error,,,,,
1309.T,error,,,,,
1311.T,error,,,,,
1312.T,error,,,,,
1313.T,error,,,,,
1319.T,error,,,,,
1320.T,error,,,,,
1321.T,error,,,,,
1322.T,error,,,,,
1323.T,error,,,,,
1324.T,error,,,,,
1325.T,error,,,,,
1326.T,error,,,,,
1327.T,error,,,,,
1328.T,error,,,,,
1329.T,error,,,,,
1330.T,error,,,,,
1332.T,NIPPON SUISAN KAISHA,Consumer Defensive,Packaged Foods,Japan,174238957568,9247
1333.T,MARUHA NICHIRO CORPORATION,Consumer Defensive,Farm Products,Japan,143507292160,11107
1343.T,error,,,,,
1344.T,error,,,,,
1345.T,error,,,,,
1346.T,error,,,,,
1348.T,error,,,,,
1349.T,error,,,,,
1352.T,HOHSUI CORP,Consumer Defensive,Food Distribution,Japan,8424244224,404
1356.T,error,,,,,
1357.T,error,,,,,
1358.T,error,,,,,
1360.T,error,,,,,
1364.T,error,,,,,
1365.T,error,,,,,
1366.T,error,,,,,
1367.T,error,,,,,
1368.T,error,,,,,
1369.T,error,,,,,
1375.T,YUKIGUNI MAITAKE CO LTD,Consumer Defensive,Packaged Foods,Japan,79261646848,1166
1376.T,KANEKO SEEDS CO,Basic Materials,Agricultural Inputs,Japan,19075874816,667
1377.T,SAKATA SEED CORP,Consumer Defensive,Farm Products,Japan,181736030208,2477
1379.T,HOKUTO CORP,Consumer Defensive,Farm Products,Japan,67621437440,4181
1380.T,AKIKAWA FOODS & FARMS,Consumer Defensive,Farm Products,Japan,5123848704,276
1381.T,AXYZ,Consumer Defensive,Farm Products,Japan,19515078656,1313
1382.T,HOB CO.LTD,Consumer Defensive,Farm Products,Japan,700844032,44
1383.T,BERG EARTH CO LTD,Consumer Defensive,Farm Products,Japan,3373459968,280
1384.T,HOKURYO CO LTD,Consumer Defensive,Farm Products,Japan,6141197824,229
1385.T,error,,,,,
1386.T,error,,,,,
1387.T,error,,,,,
1388.T,error,,,,,
1389.T,error,,,,,
1390.T,error,,,,,
1391.T,error,,,,,
1392.T,error,,,,,
1393.T,error,,,,,
1394.T,error,,,,,
1397.T,error,,,,,
1398.T,error,,,,,
1399.T,error,,,,,
1400.T,RUDEN HOLDINGS CO.LTD.,Real Estate,Real Estate Services,Japan,4173263104,
1401.T,MBS INC,Industrials,Engineering & Construction,Japan,4670128128,101
1407.T,WEST HOLDINGS CORP,Utilities,Utilities—Independent Power Producers,Japan,133445484544,360
1413.T,HINOKIYA GROUP CO LTD,Consumer Cyclical,Residential Construction,Japan,31372670976,
1414.T,SHO-BOND HOLDINGS CO LTD,Industrials,Engineering & Construction,Japan,259182297088,881
1417.T,MIRAIT HLDG CORP,Industrials,Conglomerates,Japan,202856448000,12580
1418.T,INTERLIFE HLDG CO LTD,Industrials,Specialty Business Services,Japan,4702444032,364
1419.T,TAMA HOME CO LIMITED,Consumer Cyclical,Residential Construction,Japan,63182692352,3610
1420.T,SANYO HOMES CORPORATION,Consumer Cyclical,Residential Construction,Japan,9263135744,848
1429.T,NIPPON AQUA CO LTD,Basic Materials,Building Materials,Japan,19961647104,
1430.T,FIRST-CORPORATION INC,Consumer Cyclical,Residential Construction,Japan,9315139584,138
1431.T,LIB WORK CO LTD,Real Estate,Real Estate Services,Japan,18775590912,
1432.T,error,,,,,
1433.T,BESTERRA CO LTD,Industrials,Engineering & Construction,Japan,13886787584,
1434.T,JESCO HOLDINGS INC,Industrials,Engineering & Construction,Japan,3996714240,584
1435.T,TATERU INC,Real Estate,Real Estate Services,Japan,17314129920,
1436.T,FIT CORPORATION,Industrials,Engineering & Construction,Japan,4788598272,69
1439.T,YASUE CORPORATION,Industrials,Engineering & Construction,Japan,1338868864,
1440.T,error,,,,,
1443.T,GIKEN HOLDINGS CO LTD,Industrials,Engineering & Construction,Japan,5163365888,161
