,Daily Sharpe - 3mo,Annual Sharpe - 3mo,Return over 3mo (%),Avg volume (3mo)
MMM,0.043148240449072915,0.6849570824295892,0.03525523319867788,2405353.846153846
ABT,0.09948691495399242,1.5793058140397813,0.11861498081970523,5572327.692307692
ABBV,0.06259960505758623,0.9937379229194061,0.06690406819898567,7930884.615384615
ABMD,-0.04319793005826393,-0.6857458805215697,-0.08827618950724057,313098.46153846156
ACN,0.04693779117890216,0.7451143353003383,0.04436277726735799,1912870.7692307692
ATVI,-0.031102229878443074,-0.4937325928675383,-0.05055611729019211,6398880.0
ADBE,0.034719791438720865,0.5511596023133093,0.038531351239574435,2992167.6923076925
AMD,0.022317490324159743,0.3542791757089018,0.014438085327783552,53763609.23076923
AAP,0.03194251560858603,0.5070717153007059,0.022903777807029024,806110.7692307692
AES,0.2037238760244659,3.2340162725213446,0.22614840989399293,5063713.846153846
AFL,0.07672903926415593,1.2180357373792021,0.10044701551406784,3745163.076923077
A,0.1519284989764007,2.411790152129325,0.14434060228452758,1240438.4615384615
APD,0.09832710470505902,1.5608943971195712,0.10074573863636364,832898.4615384615
AKAM,-0.05843712060832027,-0.9276605307858178,-0.08981359442666158,1609447.6923076923
ALK,0.08209527507015581,1.3032220898944376,0.1677783478707031,2373872.3076923075
ALB,0.12445049526931865,1.9755903661286247,0.2756084369929692,1148455.3846153845
ARE,-0.05769734269457468,-0.9159169204746836,-0.05980819529206637,787780.0
ALXN,0.15929400303841776,2.528713904301724,0.25533386013433435,2079504.6153846155
ALGN,0.15505654344744915,2.4614463186913937,0.5267155492716931,762378.4615384615
ALLE,0.08453254744603068,1.3419125893977923,0.10551075268817213,742393.8461538461
LNT,0.07702591612106216,1.2227485113795085,0.06149832277301537,1316949.2307692308
ALL,-0.023239444915305385,-0.36891475111849537,-0.02468243313022824,1935984.6153846155
GOOGL,0.12797755287374735,2.0315806698153303,0.17370689072905837,1865043.076923077
GOOG,0.12797094717846852,2.0314758076536634,0.1756849870298315,1891973.8461538462
MO,-0.09705611035786793,-1.540717987356952,-0.09197247706422014,8427650.76923077
AMZN,0.0035784889464335855,0.05680675092994083,-0.014818205130702117,5140767.692307692
AMCR,0.07136108628034533,1.1328221255113022,0.07039711191335735,6526121.538461538
AEE,0.02708725084535343,0.42999677662337565,0.016017742730409033,1062890.7692307692
AAL,-0.024819437061848568,-0.39399634887762564,-0.0983248361252731,62896060.0
AEP,0.1168449199188835,1.8548556003997387,0.09004682434866129,2750320.0
AXP,0.06991629557578281,1.109886784106441,0.12289366647298079,4322878.461538462
AIG,0.11277536447466893,1.7902534104878545,0.19543464665415874,6854256.923076923
AMT,-0.05215328827108417,-0.8279077849173029,-0.056133225020308666,1815938.4615384615
AWK,0.1829847403026197,2.904792699362818,0.14808313439123721,728120.0
AMP,0.101604656075636,1.6129239121342847,0.1268532759151029,647503.0769230769
ABC,0.09165972776219808,1.4550530693919541,0.08581574275004936,916743.0769230769
AME,0.15391726880793227,2.443360894464407,0.17329974811083126,924507.6923076923
AMGN,0.03242142689172855,0.5146741962322535,0.02961858086511821,2792436.923076923
APH,0.1177471373878632,1.8691778587082493,0.11984192629353912,1373023.076923077
ADI,0.13427621922831295,2.1315688984086325,0.1563143445435827,3200303.076923077
ANSS,0.049776351702680834,0.7901750866642799,0.057995495495495465,418955.3846153846
ANTM,0.11016125689270381,1.7487557391143658,0.17204723005029793,1259561.5384615385
AON,0.04018409539516837,0.6379027384542678,0.03373805218289848,1546126.1538461538
AOS,0.0906691824150899,1.4393286494872717,0.10006027727546708,1049381.5384615385
APA,-0.1329139973568877,-2.109944296594927,-0.359204618345093,10879407.692307692
AIV,-0.08278544156325535,-1.3141781433182633,-0.19994632313472893,1623601.5384615385
AAPL,0.04624256548115165,0.734077969492483,0.06024867434631563,162108573.84615386
AMAT,0.05733154226190744,0.9101100186287796,0.07648153893887694,8305975.384615385
APTV,0.14957900387798875,2.3744930737075456,0.22512381809995496,1648941.5384615385
