,Daily Sharpe - 5d,Annual Sharpe - 5d,Return over 5d (%),Avg volume (5d)
14D.AX,-inf,-inf,0.0,205438.8
1ST.AX,-inf,-inf,0.0,112290.4
3PL.AX,-1.5010156301832303,-23.827884428914345,-0.024590163934426253,124579.8
4DS.AX,-0.2504108529464686,-3.97514905492753,-0.058823529411764754,4685970.8
5GN.AX,-0.38620210656650317,-6.130768378705395,-0.05925925925925931,436784.6
88E.AX,-inf,-inf,0.0,68944686.2
8CO.AX,-0.5001714285714286,-7.939975277399439,-0.055555555555555455,411953.2
8IH.AX,-0.5001809523809523,-7.940126463188641,-0.05263157894736847,75017.2
8EC.AX,-inf,-inf,0.0,0.0
8VI.AX,-1.092559056928873,-17.34383734371035,-0.13405797101449266,4204.2
9SP.AX,-inf,-inf,0.0,5998913.4
ACB.AX,-inf,-inf,0.0,1347456.4
A2B.AX,-0.5934648174337921,-9.420961912776981,-0.02678571428571431,43460.0
ABP.AX,-0.258676094547508,-4.106355697740824,-0.014760147601476028,1109792.6
ABL.AX,,,,0.0
AEG.AX,0.16681698408817974,2.648137526154855,0.018691588785046745,104276.4
ABT.AX,,,,
ACS.AX,-inf,-inf,0.0,0.0
ACQ.AX,-0.5005238095238096,-7.945569151599976,-0.018181818181818063,57588.6
ACF.AX,-inf,-inf,0.0,514926.0
ACR.AX,-0.5001619047619048,-7.939824091610236,-0.058823529411764754,426207.6
ACW.AX,-inf,-inf,0.0,7601554.2
ACU.AX,-inf,-inf,0.0,55302.4
AD1.AX,-inf,-inf,0.0,211201.6
ADA.AX,0.012106515178895966,0.19218497044192423,0.0,41687.0
ADH.AX,-0.5512519614521711,-8.750853598434054,-0.05236907730673316,1648970.2
1AD.AX,0.01845636237531847,0.29298566971189216,0.0,541395.6
ADD.AX,-0.5000571428571428,-7.938161047928992,-0.1666666666666666,2847773.0
ABC.AX,-0.3469626502200695,-5.5078613202611635,-0.021148036253776387,819983.0
ADR.AX,-inf,-inf,0.0,668880.8
AHZ.AX,,,,
ADY.AX,0.4999904761904762,7.937102747404569,1.0,693565.6
ADT.AX,0.007333023994150042,0.11640814707954344,0.0,245184.0
ADJ.AX,,,,
ABV.AX,-inf,-inf,0.0,45895.0
ADX.AX,-inf,-inf,0.0,10179070.4
AER.AX,0.055523809523809524,0.8814131510575179,0.0,4580.0
AEI.AX,-0.7979000566204304,-12.666270725412089,-0.1111111111111112,143100.2
AFL.AX,-0.15236845849199832,-2.4187742929205713,-0.019230769230769246,62048.4
AEB.AX,,,,
AFR.AX,-inf,-inf,0.0,541710.8
A1G.AX,-inf,-inf,0.0,926165.0
AFT.AX,,,,
AFP.AX,0.5491671130058322,8.71775765537242,0.03617571059431516,7789.2
AGL.AX,0.26624958726791176,4.226581167506902,0.012698412698412804,2970353.4
AGJ.AX,-inf,-inf,0.0,0.0
AGR.AX,0.03215261789492134,0.5104069856978818,0.0,212796.4
AHL.AX,,,,
A1M.AX,0.037031553204343,0.5878576826468919,0.0,83427.8
AGI.AX,-1.1469784308098974,-18.207718122468556,-0.07228915662650595,307674.8
A40.AX,,,,
AHQ.AX,-inf,-inf,0.0,5817895.2
AGS.AX,0.49983809523809525,7.93468377477731,0.058823529411764594,29631.0
AGE.AX,-inf,-inf,0.0,10083346.0
A4N.AX,-0.5266679631179121,-8.3605947234896,-0.07407407407407414,1244774.0
1AG.AX,-inf,-inf,0.0,306082.0
AGH.AX,-0.9789589923963747,-15.540492225667075,-0.09615384615384624,769915.0
3DA.AX,-0.19575210317915864,-3.10746830177946,-0.03174603174603177,431668.2
ABR.AX,0.4241497853411407,6.733169103924526,0.10795454545454543,974864.6
ADN.AX,0.27299096371978915,4.33359720102251,0.03225806451612906,4494735.2
AAR.AX,-0.500095238095238,-7.9387657910858085,-0.10000000000000009,474853.2
AGG.AX,0.6601729049256878,10.479919972418747,0.07930367504835593,15807.6
ADO.AX,-0.8656172077031488,-13.741247172964055,-0.10000000000000009,6564546.2
AGX1.AX,0.4142489346141242,6.575997971174575,0.020373514431239408,3515.4
AHX.AX,0.017017304291610177,0.2701413308418763,0.0,56465.6
ADI.AX,0.08630805416940332,1.3700978848447953,0.006779661016949158,281668.2
ADV.AX,-inf,-inf,0.0,5403523.6
AGY.AX,-0.8644874248467735,-13.723312426123218,-0.1666666666666666,6652345.0
AHK.AX,-inf,-inf,0.0,0.0
AAJ.AX,-0.1625166447239724,-2.5798717550896098,-0.14285714285714296,490588.2
AHY.AX,0.2660679874869634,4.223698360355703,0.014084507042253534,378226.8
AFA.AX,-inf,-inf,0.0,0.0
AHN.AX,,,,
AIA.AX,-1.2637891321990808,-20.062030520549396,-0.04782608695652175,531364.4
ACP.AX,-inf,-inf,0.0,17000.0
AD8.AX,-0.801608875697539,-12.725146403026658,-0.07133592736705575,281385.6
AEE.AX,,,,0.0
ABW.AX,,,,
A3D.AX,0.2356551199434366,3.7409090552965845,0.08333333333333341,501729.6
AC8.AX,-0.2365853095687801,-3.755675357821332,-0.06250000000000006,785419.2
AGD.AX,-0.25199711947431247,-4.000330255401975,-0.050000000000000044,147479.2
AAC.AX,0.7794473790346436,12.373343549920603,0.02654867256637171,447872.8
AAP.AX,-inf,-inf,0.0,12260.2
ABX.AX,-0.5001047619047618,-7.938916976875012,-0.09090909090909087,174180.8
AHF.AX,-0.5000571428571428,-7.938161047928992,-0.1666666666666666,2302166.8
AEF.AX,-0.5123602840227365,-8.133467359143486,-0.044117647058823505,287395.8
AFG.AX,-0.25702734431005125,-4.0801825991266085,-0.022988505747126457,1131019.8
AFI.AX,-0.10208225713354845,-1.6205055938851107,-0.0068027210884353505,308906.4
AGM.AX,-inf,-inf,0.0,0.0
ABA.AX,-0.015449122818631344,-0.24524722171315058,-0.004552352048558459,48740.2
AEV.AX,-inf,-inf,0.0,2126478.8
A200.AX,0.04881784534841371,0.7749592700034841,0.0014907050157838258,57148.8
AGVT.AX,-0.16848649603352006,-2.674640206664188,-0.003814495081309071,37291.0
AAA.AX,-0.547695238095259,-8.694392365526188,-0.0001996805111820689,306908.8
ACDC.AX,-0.2618798417020597,-4.157213607147671,-0.013275349050125848,19415.0
4CE.AX,-inf,-inf,0.0,4926032.8
360.AX,-0.9377825046874456,-14.88683574762147,-0.0699300699300699,263166.2
1AL.AX,,,,
3DP.AX,-0.3935848048502043,-6.247965080685175,-0.08641975308641982,2698354.2
A2M.AX,-1.7931305146609264,-28.465064460444424,-0.035639412997903554,5068464.6
2BE.AX,-inf,-inf,0.0,265787.8
AIB.AX,-inf,-inf,0.0,600.0
AIQ.AX,-inf,-inf,0.0,1130.0
AIR.AX,-inf,-inf,0.0,1076.4
AIS.AX,-0.5000571428571429,-7.938161047928994,-0.1666666666666666,7708963.2
AIV.AX,-inf,-inf,0.0,0.0
AIY.AX,-inf,-inf,0.0,0.0
AIZ.AX,0.003115159819659393,0.04945162906223744,0.0,1088493.6
AJC.AX,,,,
AJJ.AX,-0.5000571428571429,-7.938161047928994,-0.1666666666666666,3991.0
AJL.AX,0.08701893338859698,1.3813827426019365,0.0,14422737.2
AJM.AX,-inf,-inf,0.0,0.0
AJQ.AX,0.394659366878582,6.265023224057578,0.3333333333333334,5098242.8
AJX.AX,-0.5000571428571428,-7.938161047928992,-0.1666666666666666,416813.2
AJY.AX,-inf,-inf,0.0,0.0
AKG.AX,-0.7256310886639343,-11.519036425090983,-0.12903225806451607,92471.0
AKM.AX,-0.500095238095238,-7.9387657910858085,-0.10000000000000009,194604.2
AKN.AX,,,,0.0
AKP.AX,0.13939787460123157,2.212872656914955,0.010830324909747318,7421.0
AL3.AX,0.027131831557306176,0.4307044734859587,0.0,264680.4
AL8.AX,0.035941428743097845,0.5705524933115141,0.0,247469.8
ALC.AX,-0.3607334891151903,-5.726466610628514,-0.07692307692307698,1807655.8
ALF.AX,0.4990476190476191,7.922135354273403,0.010000000000000009,347341.2
ALG.AX,0.27338948617116493,4.339923548811806,0.03333333333333337,1798746.0
ALI.AX,-0.5019714285714286,-7.968549391558937,-0.004830917874396033,108723.2
ALK.AX,0.25285274753280307,4.013912929747186,0.029850746268656577,1515439.6
ALL.AX,0.6357552143801807,10.092301151775077,0.04289892752681195,1788534.2
ALQ.AX,-0.23800430655256155,-3.778201236602751,-0.0134297520661156,1380714.6
ALT.AX,,,,2689349.4
ALU.AX,-0.43208629379623154,-6.859157269826517,-0.032738095238095205,552410.2
ALX.AX,0.3591671799169551,5.701602222939934,0.010869565217391396,2282044.4
ALY.AX,-0.5000190476190476,-7.937556304772179,-0.5,1313881.4
AMA.AX,-0.27959691068358455,-4.438463358064219,-0.030769230769230795,6292138.8
AMB.AX,,,,
AMC.AX,0.45002648867370076,7.143949034533428,0.030449826989619466,2203148.4
AMD.AX,-inf,-inf,0.0,4207383.0
AME.AX,-inf,-inf,0.0,1392622.0
AMG.AX,-0.5000571428571429,-7.938161047928994,-0.1666666666666666,1278175.2
AMH.AX,-0.501047619047619,-7.953884370006177,-0.009090909090909097,170082.0
AMI.AX,-0.28359540693214214,-4.501937518215667,-0.054054054054054106,4444273.6
AML.AX,0.04750432179207629,0.7541077299757203,0.0,398151.8
AMN.AX,0.00541099763918639,0.08589692458826878,0.0,43007.0
AMO.AX,-1.1846202316025871,-18.805263185257104,-0.1666666666666666,278077.0
AMP.AX,-0.0886820756731735,-1.4077843078813683,-0.006944444444444451,9838792.6
AMS.AX,-0.10608686271901556,-1.684076736753388,-0.010000000000000009,386976.4
AMT.AX,-0.25586717695910716,-4.06176551338772,-0.11764705882352951,8097.4
AMX.AX,-1.2237958479239956,-19.427156814721883,-0.13274336283185834,107265.4
ANA.AX,0.12125395333959306,1.9248468361199582,0.0,8466892.6
ANG.AX,-inf,-inf,0.0,140217.0
ANL.AX,,,,20508364.8
ANN.AX,-1.0134939978438904,-16.0887184413094,-0.05024443237370998,399612.0
ANO.AX,-0.4917443039555832,-7.806198821394173,-0.022727272727272693,21554.2
ANP.AX,-0.16826517261742843,-2.6711268063544256,-0.055555555555555455,2229943.0
ANR.AX,-0.5001619047619048,-7.939824091610236,-0.058823529411764754,84007.6
ANS.AX,,,,
ANW.AX,,,,47607258.6
ANZ.AX,1.1048685415542756,17.53924435422748,0.06805503904797316,8298502.8
AO1.AX,-inf,-inf,0.0,1233300.2
AOA.AX,-inf,-inf,0.0,5048612.0
AOF.AX,-0.2887382659788699,-4.58357787460867,-0.017777777777777795,71895.2
AON.AX,0.32922542619516243,5.226291617949898,0.1999999999999999,844470.6
AOP.AX,0.01496583829226768,0.2375753176976872,0.0,510721.6
AOU.AX,-0.10070859872865479,-1.5986994427308971,-0.0833333333333333,2734227.0
AOW.AX,,,,
