,Daily Sharpe - 1mo,Annual Sharpe - 1mo,Return over 1mo (%),Avg volume (1mo)
14D.AX,-0.00796385469717908,-0.12642227403713668,-0.05263157894736847,247846.54545454544
1ST.AX,0.21815242486892156,3.463062384653213,0.3333333333333334,7709059.545454546
3PL.AX,0.18289943370192013,2.903438499058958,0.13008130081300806,499631.13636363635
4DS.AX,0.3835046928538325,6.087948263504702,0.8749999999999999,11883893.818181818
5GN.AX,-0.2088807710203821,-3.315879442700151,-0.09826589595375719,860685.5909090909
88E.AX,-inf,-inf,0.0,58973184.45454545
8CO.AX,0.2801040429544332,4.446513833287105,0.3333333333333334,1023342.4090909091
8IH.AX,0.03108540175805395,0.49346545473804465,-0.050000000000000044,154135.4090909091
8EC.AX,-0.2182402079747665,-3.4644558982574845,-0.9777777777777777,0.0
8VI.AX,0.08269594097415557,1.3127573655125526,0.07784431137724558,15961.681818181818
9SP.AX,-inf,-inf,0.0,3692673.727272727
ACB.AX,0.183102410606614,2.906660657529216,0.4999999999999999,175767.90476190476
A2B.AX,0.479502647651285,7.611868552093978,0.31775700934579426,179003.68181818182
ABP.AX,0.20865309887213646,3.312265259391868,0.07586206896551731,905741.7272727273
ABL.AX,,,,0.0
AEG.AX,0.004959831929876765,0.07873489098678882,0.0,149673.5909090909
ABT.AX,,,,
ACS.AX,-inf,-inf,0.0,0.0
ACQ.AX,0.20671862211992437,3.2815563929715337,0.0729927007299269,107332.09090909091
ACF.AX,0.10741545870480672,1.7051675441810807,0.0571428571428572,234357.5
ACR.AX,0.09010550731822739,1.430380584728041,0.05555555555555561,127810.72727272728
ACW.AX,-inf,-inf,0.0,3594027.8181818184
ACU.AX,0.04580956081635534,0.7272042335349914,0.0,83378.40909090909
AD1.AX,-0.21834882097013392,-3.4661800761068364,-0.1666666666666666,1296066.0
ADA.AX,0.25242131174127685,4.007064098880762,0.20000000000000004,74844.31818181818
ADH.AX,-0.11893316014475927,-1.8880053862923105,-0.11538461538461536,1704412.9090909092
1AD.AX,0.035467238387330166,0.563024954778715,0.0,756827.8571428572
ADD.AX,0.31305846917476743,4.969649131554088,0.6666666666666669,2903806.1818181816
ABC.AX,0.029735677518028455,0.47203924667230596,0.009584664536741293,1578070.3636363635
ADR.AX,0.21817424665794516,3.4634087948147267,0.4999999999999999,980839.3636363636
AHZ.AX,,,,
ADY.AX,0.13597476105857878,2.1585324140545756,0.0,356816.4090909091
ADT.AX,0.11950804994761653,1.8971314789900742,0.07881773399014787,437331.63636363635
ADJ.AX,,,,
ABV.AX,0.0739532004856381,1.1739706628537971,0.0,122811.85714285714
ADX.AX,,,-1.0,918516.0
AER.AX,0.1924751050897142,3.055447569830437,0.1999999999999999,16419.380952380954
AEI.AX,-0.4561318287894445,-7.2408683042277735,-0.3684210526315789,402742.13636363635
AFL.AX,0.2710931287338139,4.30347000460854,0.1842105263157895,211432.36363636365
AEB.AX,-inf,-inf,0.0,0.0
AFR.AX,0.05913712996126906,0.9387728347657482,0.0,133951.68181818182
A1G.AX,-0.16574628568533561,-2.6311407159363775,-0.11764705882352951,52384.142857142855
AFT.AX,,,,
AFP.AX,-0.021472107541558195,-0.3408591400763849,-0.025974025974025997,19990.772727272728
AGL.AX,0.07464840409112118,1.1850066779577793,0.022744503411675568,2320008.1818181816
AGJ.AX,-inf,-inf,0.0,0.0
AGR.AX,0.2734363702776212,4.340667810928555,0.7999999999999998,562125.5
AHL.AX,-inf,-inf,0.0,793675.4761904762
A1M.AX,-0.30687996609147955,-4.871568435755935,-0.28571428571428575,53151.77272727273
AGI.AX,0.09726851350711395,1.5440897828205036,0.07142857142857129,189975.9090909091
A40.AX,,,,
AHQ.AX,-0.09233458999589497,-1.4657661752295035,-0.1666666666666666,561676.3636363636
AGS.AX,-0.37459448631706815,-5.9465031197456995,-0.31999999999999995,27374.909090909092
AGE.AX,,,,2770892.409090909
A4N.AX,0.028162206961367824,0.4470611759430676,0.0,857264.6363636364
1AG.AX,0.033211360449422064,0.5272140027077827,0.0,96606.71428571429
AGH.AX,-0.0018984554233757176,-0.030137045552363923,-0.021276595744680753,404940.5909090909
3DA.AX,0.015556078566700998,0.24694509157723765,-0.030303030303030328,567342.7727272727
ABR.AX,-0.1611203420856711,-2.557706137874038,-0.09999999999999996,425776.9090909091
ADN.AX,0.4511360689999732,7.161563076151229,1.214285714285714,13166954.181818182
AAR.AX,-0.053158883889060336,-0.8438711204652704,-0.11764705882352951,551959.1818181818
AGG.AX,-0.21602774116721093,-3.4293340765168225,-0.16690240452616698,28210.045454545456
ADO.AX,-0.17083770288025837,-2.7119644582482394,-0.3333333333333333,3569778.9545454546
