,Daily Sharpe - 5d,Annual Sharpe - 5d,Return over 5d (%),Avg volume (5d)
0001.HK,0.14575238125298612,2.3137473227452445,0.007653061224489844,7975226.6
0002.HK,-0.39133900576862163,-6.212314125498264,-0.020093770931011386,4887079.8
0003.HK,0.03893964184868659,0.6181476508412889,0.0017361111111110742,20827636.2
0004.HK,-0.024121761934606384,-0.3829210995820367,-0.002118644067796565,2877080.4
0005.HK,0.00774964690397302,0.1230218307388456,0.0,30279736.0
0006.HK,0.15325532626242758,2.4328528823186963,0.008177570093457978,2824406.0
0007.HK,-0.865253213019004,-13.735468936487278,-0.12499999999999993,18381600.0
0008.HK,-0.48500314008612,-7.699186162519772,-0.015418502202643234,11533956.4
0009.HK,-0.5000761904761905,-7.938463419507401,-0.12499999999999993,1174800.0
0010.HK,-0.1437065964310238,-2.2812714954960676,-0.0061601642710472785,736637.4
0011.HK,0.573535539662854,9.104594436030801,0.02702702702702703,2212983.2
0012.HK,0.006086241351638947,0.09661608621332562,0.0,3119242.2
0014.HK,0.10595527982503125,1.6819879230677521,0.0030911901081916975,1623611.4
0015.HK,,,,
0016.HK,-0.24680235462222366,-3.917865919893458,-0.006666666666666643,3834004.4
0017.HK,0.20211672833876307,3.2085035939422086,0.014285714285714212,6956535.4
0018.HK,-0.7800553572765597,-12.382994905304495,-0.0555555555555556,144400.0
0019.HK,-0.6172824127850618,-9.799054517539147,-0.02097902097902103,1687690.8
0021.HK,-0.5002666666666666,-7.941487135291475,-0.03571428571428574,444000.0
0022.HK,0.022594087997275292,0.358670027646599,0.0,140000.0
0023.HK,0.22787742974192618,3.617442051010382,0.016987542468856212,1325364.8
0024.HK,-inf,-inf,0.0,0.0
0025.HK,-0.07868525010603748,-1.2490896217769634,-0.0040816326530613185,12400.0
0026.HK,-0.3385057937437098,-5.373612885602281,-0.008955223880597071,14164.4
0027.HK,0.09187950083078812,1.458541858698107,0.01518288474810206,15711499.2
0028.HK,-inf,-inf,0.0,146600.0
0029.HK,0.293596761140528,4.660704094271217,0.016296296296296343,64400.0
0030.HK,-0.12733578434281312,-2.0213929102226147,-0.021276595744680753,19470600.0
0031.HK,-0.3361776821717614,-5.336655260139558,-0.0434782608695651,4519576.2
0032.HK,-0.17789759542037,-2.8240367779120925,-0.013740458015267154,3266.0
0033.HK,0.5618453361212452,8.919018207949861,0.28571428571428575,1484472.0
0034.HK,0.1664753755013667,2.642714657956266,0.0056818181818180605,167000.0
0035.HK,0.38793122199221153,6.158217235132694,0.007194244604316554,1042552.6
0036.HK,-0.5001714285714286,-7.939975277399439,-0.055555555555555455,379800.0
0037.HK,0.3078468443930544,4.886917152960124,0.15384615384615377,3376000.0
0038.HK,-0.2793495604015055,-4.434536794065601,-0.11924686192468624,61050800.0
0039.HK,-inf,-inf,0.0,8142400.0
0040.HK,0.17570659722711193,2.7892557598579764,0.015873015873015886,53600.0
0041.HK,-0.5348366494142268,-8.490268598358501,-0.021857923497267683,336484.2
0042.HK,-0.13473197655207092,-2.138803821629792,-0.013333333333333345,1144800.0
0043.HK,0.13668263761450827,2.1697696060101097,0.010869565217391313,29930000.0
0045.HK,-0.1455631181955725,-2.3107428648515156,-0.015815085158150947,415435.6
0046.HK,1.1632709052073213,18.46635313545338,0.06719367588932822,36800.0
0047.HK,-inf,-inf,0.0,5332800.0
0048.HK,-0.5803006852130355,-9.211987792284413,-0.13725490196078433,3338336.0
0050.HK,-0.2849130111570491,-4.522853836848738,-0.004739336492891035,88664.0
0051.HK,-0.368071941301439,-5.842960927586228,-0.01112484548825709,9800.0
0052.HK,-0.5368482626020794,-8.522201967733196,-0.02300109529025201,220140.4
0053.HK,-0.7622300522942944,-12.100026961142765,-0.009574468085106444,4200.0
0055.HK,-0.8662560006315322,-13.75138769633067,-0.046511627906976785,360400.0
0056.HK,,,,
0057.HK,-0.8386667718580699,-13.31342226713878,-0.057692307692307654,329200.0
0058.HK,-0.5001809523809524,-7.940126463188642,-0.05263157894736847,8000.0
0059.HK,0.002610112336767422,0.04143424882216962,0.0,4870007.6
0060.HK,0.008294856942761015,0.13167677178841908,0.0,1600.0
0061.HK,0.02543441951991025,0.40375889274581617,0.0,40131.0
0062.HK,0.46139683349893773,7.324447662905191,0.005291005291005296,88167.8
0063.HK,0.048961096072623264,0.7772333047518143,0.0,317600.0
0064.HK,-0.24263115609029706,-3.851650195986125,-0.04761904761904753,2428837.0
0065.HK,0.014944521863899475,0.23723692988787287,0.0,158400.0
0066.HK,2.098752253538605,33.31665915839717,0.023939064200217502,3844015.4
0067.HK,-inf,-inf,0.0,0.0
0068.HK,-0.5001984126984127,-7.940403637135516,-0.04800000000000004,800.0
0069.HK,0.27608128062223136,4.382654460999959,0.014981273408239825,2401414.2
0070.HK,0.04073604540720173,0.646664673262144,0.0,1582800.0
0071.HK,-0.8719675648392287,-13.842055967275126,-0.0027739251040221325,16413.6
0072.HK,-inf,-inf,0.0,6400.0
0073.HK,-0.5002190476190477,-7.940731206345458,-0.04347826086956525,1597535.4
0075.HK,-0.39008674728591564,-6.192435138363797,-0.0285714285714286,46720.8
0076.HK,-inf,-inf,0.0,30493940.0
0077.HK,-0.6012514724942829,-9.544571229787588,-0.07142857142857134,11200.0
0078.HK,-0.07273621159269963,-1.1546515630995393,-0.003322259136212554,115342.2
0079.HK,0.7576683742159387,12.027612566603981,0.21428571428571425,15900.0
0080.HK,0.34587305131736956,5.490564473909046,0.15,3368000.0
0081.HK,0.20916069474296062,3.3203230940362123,0.02600472813238757,4674633.2
0082.HK,-0.7286809394850768,-11.567451305942518,-0.09090909090909098,66914095.4
0083.HK,-0.27375840033564985,-4.345779879617944,-0.010204081632652994,3635072.0
0084.HK,-0.21613563853456066,-3.431046894123578,-0.11111111111111106,120671.2
0085.HK,-0.4379134146257373,-6.951659945272897,-0.03370786516853935,2817200.0
0086.HK,0.2879755356785245,4.571469906455905,0.008849557522123836,643332.2
0087.HK,-0.37355301475465,-5.929970271235474,-0.013289036544850412,1180005.2
0088.HK,0.07730810828564998,1.2272281731160906,0.0038167938931296893,49200.0
0089.HK,0.11320881790767803,1.79713427041987,0.00476190476190466,20600.0
0090.HK,0.008944056559866746,0.14198249621701978,0.0,114000.0
0091.HK,-0.8659027958565098,-13.745780744351132,-0.07692307692307698,618637.4
0092.HK,-inf,-inf,0.0,174114.2
0093.HK,-0.5002857142857143,-7.941789506869884,-0.03333333333333337,11600.0
