,Daily Sharpe - 1mo,Annual Sharpe - 1mo,Return over 1mo (%),Avg volume (1mo)
0001.HK,0.3878990565812359,6.1577066250631365,0.15333333333333327,9820254.47368421
0002.HK,0.08600642657013162,1.365309695147437,0.018018018018017976,4592694.315789473
0003.HK,0.34956198399685495,5.549124464748111,0.07142857142857137,26363108.10526316
0004.HK,0.32354901960104854,5.136181456818822,0.09356725146198817,2936501.947368421
0005.HK,0.34024386347061636,5.401203887154389,0.15477629987908098,43846948.05263158
0006.HK,0.36281805963695735,5.759558141774344,0.07757575757575765,3184406.0
0007.HK,0.03313322048977594,0.5259735693037011,0.0,37061684.21052632
0008.HK,0.053269995470686005,0.8456349621418339,0.013729977116704716,14440910.05263158
0009.HK,0.14834825826366013,2.354955592771364,0.16666666666666682,1447052.6315789474
0010.HK,-0.07579451310671763,-1.2032005945416029,-0.026315789473684365,745794.7894736842
0011.HK,0.20778894797974012,3.298547289252777,0.06499999999999996,2583848.4210526315
0012.HK,0.2804782981835432,4.452454950865648,0.09238249594813619,3514455.263157895
0014.HK,0.5024061622020563,7.975450573998119,0.15734265734265734,2600577.6315789474
0015.HK,,,,
0016.HK,0.2937204686886972,4.662667890717761,0.12064090480678616,4731908.578947368
0017.HK,0.29514228499389517,4.685238524839184,0.13467048710601728,6496127.842105263
0018.HK,0.008495335895027581,0.1348592764932198,0.0,320383.15789473685
0019.HK,0.2191607844454981,3.4790695966837246,0.15025906735751296,2175310.947368421
0021.HK,0.46556359812721126,7.390593000774104,1.272727272727273,1934736.8421052631
0022.HK,0.03001968586657227,0.4765477394353845,0.0,173333.33333333334
0023.HK,0.15580544196056453,2.4733347140289696,0.07017543859649118,1359109.6842105263
0024.HK,-inf,-inf,,0.0
0025.HK,-0.18081929998808297,-2.870417400055512,-0.041257367387033395,23467.0
0026.HK,-0.06968944740078599,-1.1062856809679782,-0.05285714285714283,15278.736842105263
0027.HK,0.0312977844029988,0.4968369247059059,0.009475218658892212,18684834.736842107
0028.HK,0.050120747323043245,0.7956421976488725,0.004347826086956622,155949.52631578947
0029.HK,-0.09284083811470198,-1.473802614973849,-0.024926686217008786,97689.47368421052
0030.HK,0.016095558868703747,0.25550907587514143,0.0,23597000.0
0031.HK,-0.12419421195308115,-1.9715219946089888,-0.10294117647058831,9226734.789473685
0032.HK,0.060097533512842416,0.954018768500106,0.014062499999999978,11453.736842105263
0033.HK,0.30021281750103385,4.76573073301053,0.42045454545454547,940151.5789473684
0034.HK,0.11969617856819806,1.9001179282573883,0.014823261117445929,169791.36842105264
0035.HK,-0.05639128969191081,-0.895183971809977,-0.010791366906474751,931552.3684210526
0036.HK,0.24184474999918532,3.839166386306596,0.21428571428571425,348293.3333333333
0037.HK,0.0868694163089413,1.379009232544783,0.07692307692307698,1173294.1176470588
0038.HK,0.15525296062555652,2.4645643447303525,0.18960244648318045,28140836.842105262
0039.HK,0.2981872723741293,4.733576200959761,0.7999999999999998,26791684.210526317
0040.HK,0.24177905931228244,3.8381235789806083,0.10344827586206906,166503.57894736843
0041.HK,0.1775195855484077,2.8180360572260543,0.12734864300626308,337536.3157894737
0042.HK,0.09936779739876331,1.577414881472272,0.09836065573770501,2423894.736842105
0043.HK,0.01760558873936079,0.2794800569353668,0.0,32496734.736842107
0045.HK,0.24661067702542022,3.9148231323751914,0.11806543385490754,736076.947368421
0046.HK,0.2502984239917548,3.9733643006015162,0.1020408163265306,54666.666666666664
0047.HK,0.23562144819195166,3.740374532812762,0.25000000000000006,33026736.842105262
0048.HK,0.21849884547523865,3.4685616412932725,1.4285714285714286,3772729.4736842103
0050.HK,0.24045677953489553,3.8171330382529147,0.027823240589198023,111205.84210526316
0051.HK,0.43077756309196125,6.8383818139665955,0.09589041095890413,18473.941176470587
0052.HK,0.09535370042644796,1.5136930675088094,0.027713625866050834,245440.63157894736
0053.HK,-0.03703445912378723,-0.5879038126879683,-0.004746835443038005,4777.722222222223
0055.HK,0.21982389153042758,3.489596095319695,0.10810810810810806,459838.8888888889
0056.HK,,,,
0057.HK,-0.6659258220470081,-10.571244700515823,-0.18685121107266436,456105.2631578947
0058.HK,0.24022179223832005,3.813402730564926,0.24137931034482762,59066.666666666664
0059.HK,-0.033949004911630574,-0.538923745525709,-0.010416666666666676,4631894.157894737
0060.HK,0.11078183804331206,1.758607159471428,0.0428571428571429,18572.14285714286
0061.HK,0.28438832766470423,4.514524744622146,0.3333333333333334,453716.6666666667
0062.HK,0.420196282713845,6.670409195367737,0.052998605299860516,88521.73684210527
0063.HK,0.11013806294370347,1.7483875465885073,0.11111111111111122,518894.7368421053
0064.HK,0.08148600094069255,1.2935501629334867,0.05263157894736847,7615703.421052632
0065.HK,-0.015739392316829925,-0.24985510714567633,-0.05660377358490571,169601.27777777778
0066.HK,0.301845116282224,4.791642672852828,0.07474518686296726,4047372.4210526315
0067.HK,-inf,-inf,,0.0
0068.HK,-0.2791033490352021,-4.430628309794424,-0.375,46000.0
0069.HK,0.35855130679291847,5.691825540187718,0.16212338593974174,2992344.947368421
0070.HK,0.25368214583210597,4.027079219573839,0.6,5684031.052631579
0071.HK,0.0035203863873603863,0.05588440139887608,0.0,49214.10526315789
0072.HK,-0.23606633874744454,-3.747436951435615,-0.1052631578947368,82875.0
0073.HK,0.24632642503009305,3.9103107718393337,0.3333333333333335,7831698.315789473
0075.HK,-0.41847154407729065,-6.643029818314292,-0.10052910052910051,123643.61111111111
0076.HK,0.2356820573446248,3.7413366732836466,1.0,70165733.78947368
0077.HK,0.16122232129865147,2.5593250076927028,0.20370370370370366,48142.857142857145
0078.HK,0.23039620501592778,3.657426368911183,0.06859205776173283,270777.5263157895
0079.HK,0.21299677929245356,3.3812190483932656,0.21428571428571425,40641.666666666664
0080.HK,0.23095749913997357,3.666336636898705,0.29411764705882343,4281842.105263158
0081.HK,0.1414071706224737,2.2447692424100647,0.06862745098039222,7641436.842105263
0082.HK,0.03510425015897312,0.557262695292255,-0.06896551724137918,170362837.36842105
0083.HK,0.1500805027717649,2.38245412184178,0.05636363636363629,4243332.368421053
0084.HK,0.026829169663598357,0.42589986487343817,0.0,510176.63157894736
0085.HK,-0.07290699825052002,-1.157362717242583,-0.09090909090909087,5244302.631578947
0086.HK,0.31716989227595277,5.034915949915902,0.05151515151515163,685869.052631579
0087.HK,0.24858799089997652,3.9462120170311525,0.12955974842767298,1514341.5263157894
0088.HK,0.6918029716906836,10.982031716094037,0.11889596602972391,94598.21052631579
0089.HK,0.2979013291513577,4.729036993020533,0.06565656565656561,36738.61538461538
0090.HK,0.41474751576255847,6.583912701537426,0.24074074074074073,308842.1052631579
0091.HK,0.012658680900223306,0.20095032952868463,0.0,938100.5789473684
0092.HK,-0.06914973075551499,-1.0977179448370034,-0.07692307692307698,368650.3888888889
0093.HK,-0.06693838369531781,-1.0626138985345903,-0.03333333333333337,41272.72727272727
0094.HK,0.25231558486523237,4.005385736755305,0.4999999999999999,761978.947368421
0095.HK,-0.04883092704378408,-0.7751669354795466,-0.013215859030836918,4507210.52631579
0096.HK,0.17100547784193057,2.7146278031970876,0.07272727272727258,39142.857142857145
0097.HK,0.4148602700488372,6.585702620341927,0.09999999999999995,2364245.1052631577
0098.HK,-0.3078335855318476,-4.886706675063597,-0.11015911872705023,42626.666666666664
0099.HK,-0.09625657078643757,-1.5280256901407927,-0.0307692307692308,16625.0
0100.HK,-inf,-inf,,0.0
0101.HK,-0.21569605434087114,-3.424068711382914,-0.07961165048543692,5612962.47368421
0102.HK,-0.17767832319295515,-2.820555939213115,-0.17204301075268819,9664210.52631579
0103.HK,0.07180500240326601,1.1398690754966228,0.040000000000000036,2344210.5263157897
0104.HK,0.06516170580663433,1.0344100114146475,0.041666666666666706,42119.230769230766
0105.HK,0.15673228260724398,2.48804785316557,0.04511278195488719,2750.0
0106.HK,-0.044786444529542516,-0.710962765991752,-0.03508771929824545,812878.947368421
0107.HK,0.19401704421453908,3.0799250945969607,0.03910614525139668,1627067.3684210526
0108.HK,-0.10149458071763127,-1.6111765199977433,-0.0674157303370787,1032000.0
0109.HK,-inf,-inf,,0.0
0110.HK,-0.10816750317511764,-1.7171058800409047,-0.13114754098360648,693220.6842105263
0111.HK,0.33121160213066264,5.257821183462026,0.2195121951219513,623052.6315789474
0112.HK,-inf,-inf,,0.0
0113.HK,0.3199675550839505,5.079327470168962,0.10810810810810796,176919.47368421053
0114.HK,0.05509289042154834,0.8745725223788962,0.029411764705882214,54591.53846153846
0115.HK,0.04556212627285403,0.723276331927764,0.011494252873563229,52430.769230769234
0116.HK,0.22347387869603913,3.547537845292409,0.10504201680672269,865694.3157894737
0117.HK,-0.0800890743717306,-1.2713746411257345,-0.15384615384615388,406388.8888888889
0118.HK,-0.06841722312552889,-1.0860897467026003,-0.018518518518518535,219930.26315789475
0119.HK,0.24395629112355552,3.872686062495612,0.07239819004524893,11434139.894736841
0120.HK,0.010385533211428589,0.16486522866145223,0.0,942562.7894736842
0122.HK,0.2003009896340599,3.1796796355910937,0.0857142857142858,2074505.2631578948
0123.HK,0.1751483496754809,2.780393854708218,0.05844155844155835,25822400.842105262
0124.HK,0.031367037875834405,0.4979362895052093,0.008771929824561412,208399.66666666666
0125.HK,0.2202454027199137,3.4962873780129624,0.07575757575757565,21529.41176470588
0126.HK,0.14742126076468662,2.340239963681787,0.08695652173913039,569684.2105263158
0127.HK,0.16605491608829936,2.6360400716960317,0.07923497267759563,762188.4736842106
