,Daily Sharpe - 1mo,Annual Sharpe - 1mo,Return over 1mo (%),Avg volume (1mo)
AACG,-0.34249150886291646,-5.436884151615307,-0.3429951690821256,938800.0
AACQ,-0.021729080358429766,-0.3449384570792604,-0.06079295154185018,5267894.444444444
AACQU,-0.020792812652647114,-0.3300756680187691,-0.07049180327868848,270022.22222222225
AACQW,,,0.0,978227.0
AAL,0.26986071688870467,4.283906073078724,0.17259174311926592,48700977.777777776
AAME,-0.40284445739283614,-6.394957507813199,-0.43797856049004597,466800.0
AAOI,-0.47803031985695343,-7.588496072940961,-0.3492320129345189,835333.3333333334
AAON,-0.3811567630977288,-6.050676034121709,-0.09900990099009901,178305.55555555556
AAPL,-0.3342770322454298,-5.306483377932758,-0.11314001899057771,108177921.05263157
AAWW,0.07109522727985301,1.128601744716637,0.03389526542324248,642783.3333333334
AAXJ,-0.1713269485274745,-2.7197309921235675,-0.04605130276711778,1249957.894736842
AAXN,-0.3006775971852913,-4.773108881764412,-0.21904345927058314,849097.9444444445
ABCB,0.33321263963485803,5.289586669063312,0.10635025269171619,369961.1111111111
ABEO,-0.4863952686071593,-7.721285517678033,-0.3982035928143713,7483277.777777778
ABIO,-0.24216466955641314,-3.8442449518344204,-0.17102615694164983,1870716.6666666667
ABMD,-0.1857926581259359,-2.949367012937221,-0.07168392504930964,314533.3333333333
ABTX,0.22282975440207287,3.53731268912091,0.05981308411214939,77288.88888888889
ABUS,-0.21810641277924844,-3.4623319653737483,-0.26174496644295303,2916550.0
ACAD,-0.04265590295566333,-0.6771414670175412,-0.029137760158572962,942683.3333333334
ACAM,,,,
ACAMU,,,,
ACAMW,,,,
ACBI,0.5444782544452879,8.643324333268682,0.1886694386694388,83311.11111111111
ACCD,-0.39260265923823706,-6.232374002442063,-0.28612303290414876,836638.8888888889
ACER,-0.28557596352829523,-4.533377879481125,-0.25839793281653745,299733.3333333333
ACET,0.011816355162041542,0.18757882297185752,-0.019327129563350132,257968.42105263157
ACEV,0.0025250320710377737,0.04008364147456997,-0.01397949673811746,1307833.3333333333
ACEVU,0.0024348851763630096,0.03865260388592502,-0.017661900756938676,21500.0
ACEVW,,,0.0,239660.0
ACGL,0.20105848461724868,3.191704495660473,0.036182336182336065,4181888.888888889
ACGLO,-0.5801003887119295,-9.208808183901997,-0.027966742252456614,15844.444444444445
ACGLP,-0.39317599572885487,-6.241475437072462,-0.014402491241728337,35577.77777777778
ACHC,0.057089218878373,0.9062632541706526,0.02136355192271965,797666.6666666666
ACHV,-0.31999156982403687,-5.079708692349373,-0.27959183673469384,185463.15789473685
ACIA,0.15523724646072745,2.46431489009716,0.001393364103457255,588685.7142857143
ACIU,0.004862010395043843,0.0771820222625815,-0.028758169934640605,2389627.777777778
ACIW,-0.1404902379883446,-2.2302133880966344,-0.07645923781958518,671516.6666666666
ACLS,-0.04243523908130399,-0.6736385366081964,-0.04123711340206171,352100.0
ACMR,-0.062201157510034785,-0.9874127641914578,-0.17082352941176476,435500.0
ACNB,0.3285691255636272,5.215873168411877,0.1412924424972618,25766.666666666668
ACOR,-0.31442063613044535,-4.991272861607331,-0.3358778625954199,362088.8888888889
ACRS,0.014411056268745588,0.2287684261011554,-0.00883720930232564,747866.6666666666
ACRX,-0.5163886317033897,-8.19741539608856,-0.37184115523465705,4033511.111111111
ACST,-0.14152121019847133,-2.2465795645563182,-0.3,41025478.94736842
ACT,-0.16615248459575255,-2.637588923735109,-0.05696559503666111,3467.6666666666665
ACTCU,-0.48655179066968285,-7.723770228390826,-0.34998289428669177,12588.888888888889
ACTG,-0.11752304334247332,-1.865620476021897,-0.09192200557103067,1652473.6842105263
ACWI,-0.13559715723257362,-2.1525381391482785,-0.025474368382430095,3890961.111111111
ACWX,-0.12662890927089132,-2.0101716163328387,-0.02301105957902246,1300338.888888889
ADAP,-0.3966465203469779,-6.296568307423348,-0.24890190336749637,1117757.894736842
