,Daily Sharpe - 5d,Annual Sharpe - 5d,Return over 5d (%),Avg volume (5d)
AACG,-1.7265619505426153,-27.40832126569417,-0.20907297830374763,216700.0
AACQ,-0.030508134945427152,-0.48430162817999606,-0.004659832246039209,3830500.0
AACQU,-0.1336343631863423,-2.121379749621281,-0.023457862728062516,135600.0
AACQW,,,0.0,366897.0
AAL,0.025048122524195617,0.39762661804858235,0.0013992537313431707,48157660.0
AAME,-0.8322814285175811,-13.212058084050604,-0.24468085106382986,81260.0
AAOI,-1.1237669759589146,-17.839247699846332,-0.09976798143851502,1144560.0
AAON,-0.3469301870201979,-5.507345982939434,-0.023625200213561078,217580.0
AAPL,-0.814796660273995,-12.934495993025832,-0.0700127877237852,140213480.0
AAWW,0.11503893232226038,1.8261864360905466,0.013964999116139281,576360.0
AAXJ,-0.5956940515025364,-9.45634990653728,-0.04503283644323994,1137360.0
AAXN,-1.657836305427271,-26.317335471688075,-0.1658742100511586,813641.2
ABCB,0.9083160665835537,14.419070544146816,0.05472738411272207,565420.0
ABEO,-0.5463614135447261,-8.673218557206372,-0.11016949152542364,3386680.0
ABIO,-0.6636824029422971,-10.535631526290484,-0.11946902654867249,1604540.0
ABMD,-0.917535272013115,-14.56542089326023,-0.12108450401155817,313080.0
ABTX,1.2581092083520449,19.97186452475914,0.07215420682469383,123480.0
ABUS,-0.49346891139707505,-7.833576115790566,-0.1540469973890339,2669760.0
ACAD,-0.08522371215266705,-1.352884488970261,-0.024712398806987574,1572880.0
ACAM,,,,
ACAMU,,,,
ACAMW,,,,
ACBI,1.101482727663556,17.485496224985127,0.18794494542002851,107080.0
ACCD,-0.6688570084169914,-10.617775841603969,-0.1537800687285224,1156040.0
ACER,-0.28158776634400884,-4.470067211906466,-0.11285266457680247,241560.0
ACET,-0.40822482980301616,-6.480368271962696,-0.10412698412698417,158200.0
ACEV,-0.2779318236464556,-4.412030920795095,-0.06571936056838368,985160.0
ACEVU,-0.34074882336811674,-5.409219877019469,-0.0692431561996779,11360.0
ACEVW,,,0.0,292263.0
ACGL,0.3275557726125793,5.19978668901904,0.02337091009073416,4526620.0
ACGLO,-0.043336505901728495,-0.6879457038387392,-0.0007763975155280716,12580.0
ACGLP,0.4358503877114352,6.918910408293239,0.002370604504148648,21080.0
ACHC,0.20375471004757167,3.2345057474636896,0.017741935483871003,705200.0
ACHV,0.1675298989503812,2.6594546987429366,0.045333333333333316,192340.0
ACIA,,,,
ACIU,-0.08135140790583559,-1.2914135647428888,-0.012936610608020767,400480.0
ACIW,0.06828861665537099,1.0840481822804102,0.006753246753246701,794280.0
ACLS,-0.3715044917331816,-5.897450976416698,-0.08513442277279908,345440.0
ACMR,-0.8755170463049203,-13.898402238723845,-0.14342965619067702,479480.0
ACNB,2.1224376429810405,33.69265305941957,0.16061046511627913,22440.0
ACOR,-0.27121033649005954,-4.305330620057063,-0.16478190630048473,513520.0
ACRS,-0.7510623835783985,-11.922745716263066,-0.08645161290322588,415640.0
ACRX,-0.32241750156854043,-5.118219164910814,-0.07329842931937168,2960480.0
ACST,-0.18094578910062306,-2.8724253524675425,-0.09999999999999994,21205320.0
ACT,-0.5763917600226846,-9.149935528601068,-0.04718590108015908,3020.8
ACTCU,-1.290104429421579,-20.47977291331427,-0.27788964961739826,13800.0
