,Daily Sharpe - 1d,Annual Sharpe - 1d,Return over 1d (%),Avg volume (1d)
MMM,,,,1873385.0
ABT,,,,2031758.0
ABBV,,,,4547978.0
ABMD,,,,136069.0
ACN,,,,1061137.0
ATVI,,,,2051385.0
ADBE,,,,1685819.0
AMD,,,,31683782.0
AAP,,,,510928.0
AES,,,,2327667.0
AFL,,,,1845544.0
A,,,,767786.0
APD,,,,442975.0
AKAM,,,,1168245.0
ALK,,,,2782017.0
ALB,,,,437091.0
ARE,,,,525379.0
ALXN,,,,937511.0
ALGN,,,,497827.0
ALLE,,,,498063.0
LNT,,,,2130798.0
ALL,,,,1309334.0
GOOGL,,,,813489.0
GOOG,,,,817984.0
MO,,,,8598718.0
AMZN,,,,2213813.0
AMCR,,,,4486839.0
AEE,,,,987857.0
AAL,,,,84329161.0
AEP,,,,1754451.0
AXP,,,,1552871.0
AIG,,,,1769517.0
AMT,,,,1307606.0
AWK,,,,830476.0
AMP,,,,602672.0
ABC,,,,414347.0
AME,,,,714004.0
AMGN,,,,2058196.0
APH,,,,1513965.0
ADI,,,,1258822.0
ANSS,,,,276764.0
ANTM,,,,791357.0
AON,,,,850937.0
AOS,,,,421173.0
APA,,,,4909786.0
AIV,,,,6011695.0
AAPL,,,,65821435.0
AMAT,,,,4214036.0
APTV,,,,661668.0
ADM,,,,1329983.0
ANET,,,,357003.0
AJG,,,,447791.0
AIZ,,,,239925.0
T,,,,30498983.0
ATO,,,,412519.0
ADSK,,,,448789.0
ADP,,,,1358545.0
AZO,,,,96453.0
AVB,,,,432757.0
AVY,,,,211634.0
BKR,,,,3692365.0
BLL,,,,1506280.0
BAC,,,,36059331.0
BK,,,,2242309.0
BAX,,,,725243.0
BDX,,,,714679.0
BRK.B,,,,
BBY,,,,1961680.0
BIO,,,,115404.0
BIIB,,,,2186676.0
BLK,,,,311799.0
BA,,,,30062324.0
BKNG,,,,290407.0
BWA,,,,1189823.0
BXP,,,,574733.0
BSX,,,,3696404.0
BMY,,,,6715888.0
AVGO,,,,1839685.0
BR,,,,203588.0
BF.B,,,,
CHRW,,,,430077.0
COG,,,,3096858.0
CDNS,,,,721943.0
CPB,,,,946029.0
COF,,,,1991584.0
CAH,,,,977926.0
KMX,,,,605107.0
CCL,,,,47839668.0
CARR,,,,2364500.0
CAT,,,,3085750.0
CBOE,,,,184835.0
CBRE,,,,828174.0
CDW,,,,325087.0
CE,,,,357509.0
CNC,,,,1460697.0
CNP,,,,2245206.0
CERN,,,,2235680.0
CF,,,,1294406.0
SCHW,,,,4368643.0
CHTR,,,,840623.0
CVX,,,,7331264.0
CMG,,,,119923.0
CB,,,,743719.0
CHD,,,,830889.0
CI,,,,1158229.0
CINF,,,,443239.0
CTAS,,,,212488.0
CSCO,,,,9346471.0
C,,,,14301577.0
CFG,,,,2865790.0
CTXS,,,,427783.0
CLX,,,,487363.0
CME,,,,675826.0
CMS,,,,1405295.0
KO,,,,9359031.0
CTSH,,,,1418411.0
CL,,,,2694440.0
CMCSA,,,,8648126.0
CMA,,,,902224.0
CAG,,,,1433625.0
CXO,,,,
COP,,,,6418835.0
ED,,,,1594659.0
STZ,,,,349741.0
COO,,,,186071.0
CPRT,,,,346583.0
GLW,,,,6231983.0
CTVA,,,,1857677.0
COST,,,,2528724.0
COTY,,,,7575530.0
CCI,,,,1569909.0
CSX,,,,1585297.0
CMI,,,,516402.0
CVS,,,,4610738.0
DHI,,,,1753789.0
DHR,,,,1015785.0
DRI,,,,731969.0
DVA,,,,185420.0
DE,,,,1418195.0
DAL,,,,16163658.0
XRAY,,,,906304.0
DVN,,,,7163550.0
DXCM,,,,580542.0
FANG,,,,1459119.0
DLR,,,,1661427.0
DFS,,,,1930467.0
DISCA,,,,8095773.0
DISCK,,,,4545491.0
DISH,,,,3606625.0
DG,,,,1632862.0
DLTR,,,,1056431.0
D,,,,1877306.0
DPZ,,,,443114.0
DOV,,,,390082.0
DOW,,,,3065207.0
DTE,,,,739353.0
DUK,,,,2280016.0
DRE,,,,1191471.0
DD,,,,1800525.0
DXC,,,,691593.0
ETFC,,,,
EMN,,,,760487.0
ETN,,,,2270654.0
EBAY,,,,3223734.0
ECL,,,,330657.0
EIX,,,,789329.0
EW,,,,2166519.0
EA,,,,1245525.0
EMR,,,,1686607.0
ETR,,,,961884.0
EOG,,,,1813037.0
EFX,,,,336568.0
EQIX,,,,344780.0
EQR,,,,2032971.0
ESS,,,,238606.0
EL,,,,913721.0
EVRG,,,,1250055.0
ES,,,,587198.0
RE,,,,118540.0
EXC,,,,2637600.0
EXPE,,,,1770650.0
EXPD,,,,626979.0
EXR,,,,653195.0
XOM,,,,23459859.0
FFIV,,,,231656.0
FB,,,,11832194.0
FAST,,,,2887300.0
FRT,,,,355848.0
FDX,,,,2494254.0
FIS,,,,1187486.0
FITB,,,,4686737.0
FE,,,,2039079.0
FRC,,,,386309.0
FISV,,,,1265107.0
FLT,,,,277461.0
FLIR,,,,526021.0
FLS,,,,974009.0
FMC,,,,715157.0
F,,,,51450812.0
FTNT,,,,684843.0
FTV,,,,1751078.0
FBHS,,,,302603.0
FOXA,,,,2300081.0
