,Daily Sharpe - 3mo,Annual Sharpe - 3mo,Return over 3mo (%),Avg volume (3mo)
MMM,0.09321823459940135,1.4797935984389563,0.08043279138997013,2661877.2580645164
ABT,0.11179654150923946,1.7747150776233434,0.09632387156817118,4898880.096774193
ABBV,0.08654895957839863,1.3739221396549466,0.06953900019451474,7070064.193548387
ABMD,0.08227070455470131,1.3060069466268516,0.10949302730970358,337622.96774193546
ACN,0.0770720667100313,1.2234811292671375,0.07103825136612026,2020088.4193548388
ATVI,0.05478454692741144,0.8696777211556705,0.05959502991256319,5729896.225806451
ADBE,-0.06258225454520319,-0.9934624920740958,-0.07784269849162936,2603299.0967741935
AMD,-0.09413772876060686,-1.4943901157341106,-0.15341845140032953,42983368.41935484
AAP,0.10591656286161694,1.6813733103274688,0.1308183183183183,1040554.3548387097
AES,0.16668771568177013,2.6460854538204304,0.2755834829443447,6913957.258064516
AFL,0.17110976414775078,2.7162832969791872,0.15400044573211508,3790953.5483870967
A,0.06458435197201921,1.025244803425361,0.0540931936280773,1733309.2580645161
APD,0.016020693669973256,0.2543206276889756,0.008147846376060103,1228364.8064516129
AKAM,-0.02040111995517008,-0.3238577392114633,-0.04524886877828057,2152848.5483870967
ALK,0.23828349219556072,3.782633171288724,0.44009537055434145,1900159.9032258065
ALB,0.08224946597902619,1.3056697946902258,0.14745541539799917,1915572.8709677418
ARE,-0.06824702658576394,-1.0833879603932695,-0.0578385741854921,1015776.0322580645
ALXN,-0.06125583633152056,-0.9724062557068711,-0.03976948894940156,3021428.4516129033
ALGN,0.05479079354479362,0.8697768831324422,0.07733875653689729,580028.6129032258
ALLE,0.058066643936657385,0.9217793959471923,0.05210384959713512,695361.7741935484
LNT,0.00809981845093371,0.12858063171565817,0.001336387934326084,1317295.3870967743
ALL,0.13434872426114064,2.1327198801226084,0.10356873111782476,1861507.2580645161
GOOGL,0.12873442069099966,2.0435955739341174,0.15805074159038782,1769243.2258064516
GOOG,0.13328535231007002,2.115839373720442,0.16057518794865855,1580285.9677419355
MO,0.20581488546517132,3.2672100183365136,0.17875770507349453,8949032.806451613
AMZN,-0.02389229430499318,-0.3792784138906606,-0.03168600242644828,3684886.290322581
AMCR,0.02200967820617632,0.3493928098206045,0.013864818024263445,5911067.935483871
AEE,0.0036251915281734766,0.05754813143115134,-0.0021592785469325758,1677706.322580645
AAL,0.20452605200318466,3.2467504214057428,0.4738389182833626,60027057.61290322
AEP,-0.031072981656528498,-0.4932682917386775,-0.028710404555700574,3101756.64516129
AXP,0.1883661690055129,2.9902202316393,0.22888329135180538,3754811.5483870967
AIG,0.18865348010611802,2.9947811539659566,0.24649714582252205,4675556.645161291
AMT,0.01104905604839892,0.17539832715646553,0.0034982738780206715,2283760.1612903224
AWK,-0.07956138061502713,-1.2629977624339017,-0.08190077782861625,1052631.0967741935
AMP,0.1557579995120464,2.472581588506768,0.18572102531844617,696058.4516129033
ABC,0.11939838919097688,1.895390668446164,0.14278501464202767,1173366.8064516129
AME,0.042978095792321126,0.6822561197375592,0.033024874777145774,953979.9677419355
AMGN,0.03364275362289073,0.5340621570335169,0.02103847655402765,2534513.9032258065
APH,0.0039468857704287085,0.0626548692104036,-0.0036485253876557444,2685854.935483871
ADI,0.04155491101016793,0.6596637617179452,0.04039983340274881,2828618.870967742
ANSS,-0.023045540884912848,-0.3658366200627048,-0.05976153689181705,485278.5806451613
ANTM,0.0832910830522792,1.3222049531133444,0.08875550731115495,1272859.0967741935
AON,0.0911786400658113,1.44741603897124,0.08503581214247943,1613964.064516129
AOS,0.12012182099009705,1.906874792232092,0.1428571428571429,1168762.4838709678
APA,0.1335404457755135,2.1198888569442884,0.3404657016991819,8908024.709677419
AIV,0.0933911269750294,1.482538179815902,0.13492063492063486,8591332.41935484
AAPL,-0.019068090052293655,-0.3026965455321217,-0.036049421332499214,110954844.03225806
AMAT,0.13525054218761864,2.1470357958905324,0.2916242794167514,7903115.129032258
APTV,0.15877767692662784,2.520517481378494,0.24133431204632566,1863775.5806451612
ADM,0.17698129743759738,2.809490998376613,0.16804518862215045,2578941.2580645164
ANET,0.028485444316799814,0.45219240988458304,0.021817661575879048,606535.3870967742
AJG,0.03695269483115584,0.5866058447814018,0.02515570654371916,817563.4838709678
AIZ,0.041840777443191465,0.6642017506577135,0.03587884281290128,474479.4516129032
T,-0.029654640955756113,-0.47075283112704863,-0.026814911706997933,44825614.48387097
ATO,-0.08117076683937084,-1.2885459767123018,-0.08802124311565698,1039283.7741935484
ADSK,-0.03315332216774211,-0.5262926735487027,-0.06051542447744576,1400238.0
ADP,0.08304802502681084,1.3183465265760583,0.06782361308677091,1816121.6129032257
AZO,0.09196551738281082,1.4599073291298308,0.09314294920169255,246716.87096774194
AVB,0.20886527142635966,3.315633394272916,0.19540655676977223,920052.9032258064
AVY,0.1699766546583496,2.6982957414762097,0.2142005563650815,496275.0
BKR,0.08412008078932595,1.3353648842113106,0.09813721035892777,6633017.0322580645
BLL,-0.07724386679074777,-1.226208370999917,-0.07312038244241638,1678564.1935483871
BAC,0.2469395963294313,3.920044564454122,0.30970670391061444,52448664.58064516
BK,0.13026560763413855,2.067902413107886,0.15625777556606124,5718364.70967742
BAX,-0.016690045459292462,-0.2649462579339039,-0.01444360713388603,2598898.709677419
BDX,-0.014640934628123234,-0.23241763192540807,-0.015524515626920051,1304094.322580645
BRK.B,,,,
BBY,0.08390081034516125,1.3318840738205517,0.1005922905136421,2807995.4838709678
BIO,-0.01794259161373965,-0.2848298117156893,-0.03381469952883944,229110.4516129032
BIIB,0.04161601506663006,0.6606337585429215,0.03811361717525023,1339755.4193548388
BLK,0.02952499225953357,0.468694721878997,0.02202870319974791,702776.4838709678
BA,0.1049731385271348,1.666396913308391,0.16178649237472764,15588600.612903226
BKNG,0.10734923200518283,1.7041162279169364,0.14965324944591407,380247.48387096776
BWA,0.2222283661753787,3.5277659469855007,0.3315649867374005,2551223.9032258065
BXP,0.05442261785495259,0.8639322752478481,0.05752475247524755,1196830.1935483871
BSX,0.14111348274904928,2.2401070919531256,0.1338332852610326,10349870.516129032
BMY,-0.02078932957467193,-0.3300203758700528,-0.020616909061850715,12017924.548387097
AVGO,0.09574536529049599,1.5199105544741276,0.12555614026694734,1886639.8387096773
